#{"t_start": 1541178120.903327, "env_id": "MiniGrid-Empty-16x16-v0"}
r,l,t
0,1024,1.892822
0,1024,2.918267
0,1024,4.303515
0,1024,5.505135
0.50957,558,6.161488
0,1024,7.575729
0,1024,9.011424
0,1024,10.110778
0,1024,11.241941
0,1024,12.246136
0,1024,13.592048
0,1024,14.861278
0,1024,16.667458
0,1024,17.945562
0,1024,19.066645
0,1024,20.197882
0,1024,21.284224
0.864648,154,21.43454
0,1024,22.512984
0,1024,23.590308
0,1024,24.652797
0,1024,25.73089
0,1024,26.801259
0,1024,27.887182
0,1024,28.96006
0,1024,30.042708
0,1024,31.128152
0,1024,32.20536
0,1024,33.290132
0,1024,34.358438
0,1024,35.431333
0.50166,567,35.998403
0,1024,37.086358
0.149219,968,38.114159
0.776758,254,38.380394
0.275781,824,39.231252
0.728418,309,39.582932
0.602734,452,40.042189
0.471777,601,40.68657
0,1024,41.730397
0.837402,185,41.946513
0.642285,407,42.399153
0,1024,43.46329
0.327637,765,44.272905
0.30918,786,45.093843
0,1024,46.166906
0.151855,965,47.141455
0.901563,112,47.263216
0.134277,985,48.31158
0.851465,169,48.472332
0.846191,175,48.681368
0.789941,239,48.941753
0.806641,220,49.144367
0.962207,43,49.21666
0.832129,191,49.396185
0.878711,138,49.539098
0.964844,40,49.566275
0.922656,88,49.670986
0.870801,147,49.818073
0.947266,60,49.902591
0.95166,55,49.941504
0.961328,44,50.011503
0.960449,45,50.041986
0.958691,47,50.072523
0.955176,51,50.149963
0.883105,133,50.289581
0.317969,776,51.106731
0.939355,69,51.154319
0.909473,103,51.274432
0.946387,61,51.363569
0.921777,89,51.42607
0.948145,59,51.508904
0.934961,74,51.558537
0.957812,48,51.633405
0.95166,55,51.672116
0.960449,45,51.704203
0.969238,35,51.771978
0.960449,45,51.804077
0.952539,54,51.884323
0.945508,62,51.927118
0.963086,42,51.956213
0.961328,44,52.027626
0.898047,116,52.149752
0.970117,34,52.171955
0.961328,44,52.201199
0.961328,44,52.272017
0.970117,34,52.295006
0.971875,32,52.31754
0.966602,38,52.343719
0.971875,32,52.408055
0.969238,35,52.43175
0.872559,145,52.577687
0.970117,34,52.602277
0.972754,31,52.665779
0.969238,35,52.689738
0.966602,38,52.71526
0.966602,38,52.742891
0.970117,34,52.809974
0.972754,31,52.830488
0.968359,36,52.854948
0.973633,30,52.874536
0.97627,27,52.936824
0.964844,40,52.963593
0.966602,38,52.991196
0.972754,31,53.013355
0.970117,34,53.0786
0.963965,41,53.108598
0.965723,39,53.135784
0.968359,36,53.203441
0.974512,29,53.22328
0.948145,59,53.262745
0.972754,31,53.327851
0.971875,32,53.350378
0.970996,33,53.37289
0.97627,27,53.391225
0.975391,28,53.410636
0.97627,27,53.472633
0.96748,37,53.497253
0.97627,27,53.515398
0.97627,27,53.534441
0.973633,30,53.596764
0.972754,31,53.61886
0.970996,33,53.641781
0.969238,35,53.665149
0.973633,30,53.728732
0.973633,30,53.749547
0.973633,30,53.769647
0.975391,28,53.788919
0.974512,29,53.852281
0.970996,33,53.874439
0.974512,29,53.8942
0.974512,29,53.91587
0.972754,31,53.97997
0.974512,29,53.999931
0.96748,37,54.027685
0.970117,34,54.0518
0.972754,31,54.115367
0.973633,30,54.140425
0.970117,34,54.162185
0.96748,37,54.186743
0.974512,29,54.249715
0.97627,27,54.267721
0.972754,31,54.289353
0.974512,29,54.309472
0.921777,89,54.414964
0.972754,31,54.436903
0.97627,27,54.455617
0.972754,31,54.520986
0.970996,33,54.544324
0.972754,31,54.565485
0.970996,33,54.587718
0.974512,29,54.651814
0.970117,34,54.675063
0.971875,32,54.697012
0.968359,36,54.723138
0.973633,30,54.788065
0.973633,30,54.809177
0.973633,30,54.829974
0.973633,30,54.851136
0.972754,31,54.914607
0.963965,41,54.943763
0.966602,38,54.969423
0.954297,52,55.04967
0.963086,42,55.078264
0.970996,33,55.101711
0.973633,30,55.123701
0.974512,29,55.19078
0.975391,28,55.210157
0.96748,37,55.238347
0.969238,35,55.261552
0.973633,30,55.331015
0.974512,29,55.351824
0.970996,33,55.374178
0.975391,28,55.393161
0.972754,31,55.457995
0.971875,32,55.47951
0.973633,30,55.499851
0.974512,29,55.519347
0.975391,28,55.581667
0.975391,28,55.601312
0.970996,33,55.625769
0.975391,28,55.644885
0.973633,30,55.664812
0.973633,30,55.72921
0.97627,27,55.748152
0.97627,27,55.766833
0.97627,27,55.785211
0.973633,30,55.855012
0.975391,28,55.875549
0.971875,32,55.899539
0.970996,33,55.925317
0.973633,30,55.99339
0.97627,27,56.013483
0.972754,31,56.037014
0.973633,30,56.059076
0.974512,29,56.081789
0.975391,28,56.150236
0.972754,31,56.170996
0.972754,31,56.1917
0.975391,28,56.21095
0.974512,29,56.275298
0.971875,32,56.296393
0.975391,28,56.3148
0.973633,30,56.334719
0.97627,27,56.394996
0.974512,29,56.414621
0.971875,32,56.439022
0.975391,28,56.458189
0.974512,29,56.476799
0.97627,27,56.541156
0.972754,31,56.561358
0.973633,30,56.580546
0.974512,29,56.599507
0.974512,29,56.662974
0.973633,30,56.683192
0.973633,30,56.703303
0.974512,29,56.724298
0.97627,27,56.74524
0.972754,31,56.808959
0.972754,31,56.830814
0.971875,32,56.853041
0.971875,32,56.874657
0.972754,31,56.939543
0.973633,30,56.961854
0.974512,29,56.981235
0.975391,28,57.000411
0.973633,30,57.064132
0.972754,31,57.085067
0.968359,36,57.111061
0.961328,44,57.1962
0.971875,32,57.217947
0.973633,30,57.238301
0.973633,30,57.258184
0.972754,31,57.27818
0.974512,29,57.342529
0.97627,27,57.360623
0.974512,29,57.380094
0.974512,29,57.400734
0.973633,30,57.465533
0.961328,44,57.494701
0.973633,30,57.514807
0.971875,32,57.536369
0.964844,40,57.609645
0.973633,30,57.630136
0.973633,30,57.650431
0.972754,31,57.671813
0.974512,29,57.734522
0.97627,27,57.75357
0.97627,27,57.77291
0.975391,28,57.793047
0.974512,29,57.856506
0.973633,30,57.877096
0.970996,33,57.900237
0.975391,28,57.919714
0.974512,29,57.940924
0.975391,28,58.000392
0.975391,28,58.019629
0.971875,32,58.04208
0.97627,27,58.060632
0.971875,32,58.127103
0.97627,27,58.145802
0.97627,27,58.163295
0.97627,27,58.181123
0.97627,27,58.199803
0.97627,27,58.260553
0.975391,28,58.279273
0.975391,28,58.298619
0.975391,28,58.318063
0.974512,29,58.380974
0.97627,27,58.399631
0.975391,28,58.419245
0.974512,29,58.439503
0.973633,30,58.46022
0.97627,27,58.519898
0.975391,28,58.539807
0.97627,27,58.558233
0.97627,27,58.575958
0.975391,28,58.640205
0.975391,28,58.6589
0.974512,29,58.676916
0.971875,32,58.698464
0.972754,31,58.719887
0.97627,27,58.78199
0.97627,27,58.799773
0.97627,27,58.818064
0.97627,27,58.836364
0.97627,27,58.895465
0.972754,31,58.915918
0.973633,30,58.936107
0.974512,29,58.955384
0.97627,27,58.973331
0.97627,27,59.032093
0.97627,27,59.050649
0.973633,30,59.070278
0.973633,30,59.090795
0.975391,28,59.152236
0.974512,29,59.17059
0.975391,28,59.189661
0.975391,28,59.208812
0.975391,28,59.227626
0.973633,30,59.289799
0.971875,32,59.311953
0.974512,29,59.332137
0.975391,28,59.351228
0.974512,29,59.412007
0.918262,93,59.476876
0.97627,27,59.537506
0.971875,32,59.560585
0.974512,29,59.580186
0.975391,28,59.59947
0.974512,29,59.619782
0.975391,28,59.681819
0.974512,29,59.701326
0.970117,34,59.725889
0.970117,34,59.74853
0.970996,33,59.813675
0.975391,28,59.833041
0.968359,36,59.858295
0.975391,28,59.87795
0.97627,27,59.938627
0.97627,27,59.958453
0.975391,28,59.977051
0.974512,29,59.997061
0.956934,49,60.074556
0.97627,27,60.09339
0.974512,29,60.113606
0.974512,29,60.13341
0.974512,29,60.198072
0.975391,28,60.217114
0.975391,28,60.236805
0.973633,30,60.258307
0.927051,83,60.358507
0.97627,27,60.376654
0.974512,29,60.396847
0.974512,29,60.461803
0.97627,27,60.480493
0.973633,30,60.501445
0.972754,31,60.523622
0.974512,29,60.545606
0.971875,32,60.609288
0.974512,29,60.628981
0.974512,29,60.648494
0.975391,28,60.667272
0.974512,29,60.732001
0.975391,28,60.752002
0.973633,30,60.771865
0.97627,27,60.7914
0.93584,73,60.887841
0.970996,33,60.912396
0.973633,30,60.934543
0.975391,28,61.000299
0.975391,28,61.019603
0.974512,29,61.040057
0.974512,29,61.061798
0.975391,28,61.079521
0.975391,28,61.141599
0.974512,29,61.1608
0.97627,27,61.178446
0.97627,27,61.19635
0.973633,30,61.261658
0.975391,28,61.279417
0.975391,28,61.302259
0.975391,28,61.325269
0.975391,28,61.34578
0.975391,28,61.406489
0.97627,27,61.427056
0.97627,27,61.447515
0.973633,30,61.467547
0.974512,29,61.487054
0.972754,31,61.551841
0.974512,29,61.571088
0.974512,29,61.591281
0.97627,27,61.610513
0.97627,27,61.672373
0.974512,29,61.693584
0.97627,27,61.712593
0.974512,29,61.733954
0.974512,29,61.753731
0.974512,29,61.816711
0.973633,30,61.837653
0.973633,30,61.860121
0.975391,28,61.879419
0.974512,29,61.943409
0.920898,90,62.007248
0.97627,27,62.069582
0.974512,29,62.089072
0.974512,29,62.110482
0.972754,31,62.132061
0.975391,28,62.151939
0.974512,29,62.214787
0.974512,29,62.234729
0.974512,29,62.255497
0.974512,29,62.275288
0.975391,28,62.337636
0.97627,27,62.35694
0.973633,30,62.377059
0.974512,29,62.396986
0.97627,27,62.41545
0.923535,87,62.521148
0.975391,28,62.540663
0.974512,29,62.604135
0.974512,29,62.624828
0.975391,28,62.645172
0.975391,28,62.663848
0.972754,31,62.728089
0.974512,29,62.748457
0.973633,30,62.76881
0.97627,27,62.787254
0.927051,83,62.889817
0.975391,28,62.908071
0.97627,27,62.927302
0.97627,27,62.946044
0.97627,27,63.004614
0.922656,88,63.06738
0.975391,28,63.130361
0.975391,28,63.14975
0.973633,30,63.169852
0.97627,27,63.188196
0.930566,79,63.294065
