#{"t_start": 1540225500.961119, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.592827
-200.0,200,0.853517
-200.0,200,1.018027
-200.0,200,1.116399
-200.0,200,1.232331
-200.0,200,1.568767
-200.0,200,1.821766
-200.0,200,2.074768
-200.0,200,2.329498
-200.0,200,2.585537
-200.0,200,2.842451
-200.0,200,3.095346
-200.0,200,3.353609
-200.0,200,3.610256
-200.0,200,3.86482
-200.0,200,4.118596
-200.0,200,4.375648
-200.0,200,4.63443
-200.0,200,4.890031
-200.0,200,5.144678
-200.0,200,5.403836
-200.0,200,5.660275
-200.0,200,5.916097
-200.0,200,6.158427
-200.0,200,6.417603
-200.0,200,6.674652
-200.0,200,6.931216
-200.0,200,7.187406
-200.0,200,7.444528
-200.0,200,7.70136
-200.0,200,7.956836
-200.0,200,8.212678
-200.0,200,8.470527
-200.0,200,8.729675
-200.0,200,8.985563
-200.0,200,9.241605
-200.0,200,9.497186
-200.0,200,9.754139
-200.0,200,10.012411
-200.0,200,10.268233
-200.0,200,10.526251
-200.0,200,10.784139
-200.0,200,11.039521
-200.0,200,11.298987
-200.0,200,11.556366
-200.0,200,11.814123
-200.0,200,12.072825
-200.0,200,12.329033
-200.0,200,12.585494
-200.0,200,12.840629
