#{"t_start": 1540231457.590511, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.479985
-200.0,200,0.57803
-200.0,200,0.672274
-200.0,200,0.672355
-200.0,200,0.76544
-200.0,200,0.765534
-200.0,200,0.857687
-200.0,200,0.857776
-200.0,200,1.204341
-200.0,200,1.204441
-200.0,200,1.29192
-65.0,65,1.292036
-65.0,65,1.292081
-200.0,200,1.571138
-200.0,200,1.57124
-200.0,200,1.701073
-94.0,94,1.70118
-94.0,94,1.70123
-200.0,200,1.737091
-94.0,94,1.737195
-27.0,27,1.737243
-27.0,27,1.737297
-200.0,200,2.014121
-200.0,200,2.014239
-200.0,200,2.05466
-94.0,94,2.054819
-27.0,27,2.054881
-27.0,27,2.05492
-200.0,200,2.18458
-94.0,94,2.184701
-94.0,94,2.18475
-200.0,200,2.227648
-32.0,32,2.227756
-32.0,32,2.227805
-200.0,200,2.270949
-32.0,32,2.271066
-32.0,32,2.271111
-200.0,200,2.543749
-200.0,200,2.543864
-200.0,200,2.592461
-32.0,32,2.592556
-32.0,32,2.592601
-200.0,200,2.62872
-94.0,94,2.628821
-27.0,27,2.628868
-27.0,27,2.628906
-200.0,200,2.762324
-94.0,94,2.762442
-94.0,94,2.762489
-200.0,200,3.038425
-200.0,200,3.038546
-200.0,200,3.073688
-94.0,94,3.073785
-27.0,27,3.073831
-27.0,27,3.07387
-200.0,200,3.20274
-94.0,94,3.202862
-94.0,94,3.202911
-200.0,200,3.238328
-94.0,94,3.238446
-27.0,27,3.238493
-27.0,27,3.238532
-200.0,200,3.275517
-94.0,94,3.275636
-27.0,27,3.275698
-27.0,27,3.275737
-200.0,200,3.367356
-65.0,65,3.367465
-65.0,65,3.367515
-200.0,200,3.645331
-200.0,200,3.645451
-200.0,200,3.689335
-32.0,32,3.689457
-32.0,32,3.689503
-200.0,200,3.779659
-65.0,65,3.779765
-65.0,65,3.779814
-200.0,200,4.054561
-200.0,200,4.054695
-200.0,200,4.089165
-94.0,94,4.089268
-27.0,27,4.089315
-27.0,27,4.089357
-200.0,200,4.137632
-32.0,32,4.137738
-32.0,32,4.137788
-200.0,200,4.267258
-94.0,94,4.267422
-94.0,94,4.267485
-200.0,200,4.537576
-200.0,200,4.537726
-200.0,200,4.582473
-32.0,32,4.58263
-32.0,32,4.58271
-200.0,200,4.618676
-94.0,94,4.618815
-27.0,27,4.618864
-27.0,27,4.618905
-200.0,200,4.895684
-200.0,200,4.895804
-200.0,200,4.934648
-94.0,94,4.934735
-27.0,27,4.934779
-27.0,27,4.934818
-200.0,200,5.209051
-200.0,200,5.209135
-200.0,200,5.251552
-32.0,32,5.251675
-32.0,32,5.251723
-200.0,200,5.383141
-94.0,94,5.383258
-94.0,94,5.383313
-200.0,200,5.514494
-94.0,94,5.514643
-94.0,94,5.514707
-200.0,200,5.556923
-32.0,32,5.55703
-32.0,32,5.557075
-200.0,200,5.832579
-200.0,200,5.832723
-200.0,200,6.109297
-200.0,200,6.109401
-200.0,200,6.386781
-200.0,200,6.386905
-200.0,200,6.42219
-94.0,94,6.422296
-27.0,27,6.422347
-27.0,27,6.42239
-200.0,200,6.462104
-94.0,94,6.462207
-27.0,27,6.462255
-27.0,27,6.462296
-200.0,200,6.739039
-200.0,200,6.739149
-200.0,200,7.01057
-200.0,200,7.010683
-200.0,200,7.139452
-94.0,94,7.139539
-94.0,94,7.139584
-200.0,200,7.385612
-182.0,182,7.385782
-182.0,182,7.385834
-200.0,200,7.51805
-96.0,96,7.518156
-96.0,96,7.518233
-200.0,200,7.560451
-94.0,94,7.56057
-27.0,27,7.560619
-27.0,27,7.560658
-200.0,200,7.694118
-96.0,96,7.694217
-96.0,96,7.694263
-200.0,200,7.941317
-182.0,182,7.941423
-182.0,182,7.94147
-200.0,200,7.982332
-94.0,94,7.98244
-27.0,27,7.982489
-27.0,27,7.98253
-200.0,200,8.069886
-65.0,65,8.07004
-65.0,65,8.070095
-200.0,200,8.201039
-96.0,96,8.201156
-96.0,96,8.20122
-200.0,200,8.448951
-182.0,182,8.449072
-182.0,182,8.44912
-200.0,200,8.491013
-32.0,32,8.491147
-32.0,32,8.491198
-200.0,200,8.538004
-32.0,32,8.538123
-32.0,32,8.538173
-200.0,200,8.58153
-32.0,32,8.581649
-32.0,32,8.581698
-200.0,200,8.671013
-65.0,65,8.671162
-65.0,65,8.67121
-200.0,200,8.715529
-32.0,32,8.715633
-32.0,32,8.715684
-200.0,200,8.989901
-200.0,200,8.990005
-200.0,200,9.026394
-94.0,94,9.026522
-27.0,27,9.027365
-27.0,27,9.027415
-200.0,200,9.074301
-32.0,32,9.074412
-32.0,32,9.074464
-200.0,200,9.346486
-200.0,200,9.34661
-200.0,200,9.479055
-96.0,96,9.479147
-96.0,96,9.479192
-200.0,200,9.745866
-200.0,200,9.74596
-200.0,200,9.862616
-94.0,94,9.862726
-94.0,94,9.862777
-200.0,200,9.899663
-94.0,94,9.899775
-27.0,27,9.899836
-27.0,27,9.899881
-200.0,200,9.981073
-65.0,65,9.981185
-65.0,65,9.981239
-200.0,200,10.019689
-94.0,94,10.019819
-27.0,27,10.01991
-27.0,27,10.019951
-200.0,200,10.099486
-65.0,65,10.09959
-65.0,65,10.099642
-200.0,200,10.22221
-94.0,94,10.222327
-94.0,94,10.222388
-200.0,200,10.267451
-32.0,32,10.267554
-32.0,32,10.267606
-200.0,200,10.351247
-65.0,65,10.351371
-65.0,65,10.351427
-200.0,200,10.396579
-32.0,32,10.396682
-32.0,32,10.396735
-200.0,200,10.63511
-182.0,182,10.635222
-182.0,182,10.635275
-200.0,200,10.762974
-96.0,96,10.76309
-96.0,96,10.763145
-200.0,200,11.027689
-200.0,200,11.027806
-200.0,200,11.07211
-32.0,32,11.072222
-32.0,32,11.072275
-200.0,200,11.113231
-32.0,32,11.113344
-32.0,32,11.113399
-200.0,200,11.376446
-200.0,200,11.376567
-200.0,200,11.499678
-94.0,94,11.499793
-94.0,94,11.499846
-200.0,200,11.534323
-94.0,94,11.534434
-27.0,27,11.534487
-27.0,27,11.534533
-200.0,200,11.624109
-65.0,65,11.624226
-65.0,65,11.624281
-200.0,200,11.866094
-182.0,182,11.866212
-182.0,182,11.866267
-200.0,200,12.104829
-182.0,182,12.104942
-182.0,182,12.104996
-200.0,200,12.143726
-94.0,94,12.143839
-27.0,27,12.143894
-27.0,27,12.143939
-200.0,200,12.17863
-94.0,94,12.178741
-27.0,27,12.178796
-27.0,27,12.178843
-200.0,200,12.213861
-94.0,94,12.213999
-27.0,27,12.214052
-27.0,27,12.214099
-200.0,200,12.260249
-32.0,32,12.260364
-32.0,32,12.260419
-200.0,200,12.499589
-182.0,182,12.499704
-182.0,182,12.499759
-200.0,200,12.625326
-94.0,94,12.625446
-94.0,94,12.6255
-200.0,200,12.753562
-96.0,96,12.753675
-96.0,96,12.753731
-200.0,200,13.024956
-200.0,200,13.02508
-200.0,200,13.274515
-182.0,182,13.274625
-182.0,182,13.274675
-200.0,200,13.407083
-96.0,96,13.407207
-96.0,96,13.407253
-200.0,200,13.658923
-182.0,182,13.65904
-182.0,182,13.659088
-200.0,200,13.699098
-182.0,182,13.699206
-30.0,30,13.699257
-30.0,30,13.699341
-200.0,200,13.74069
-182.0,182,13.740828
-30.0,30,13.74088
-30.0,30,13.740938
-200.0,200,13.781499
-94.0,94,13.781623
-27.0,27,13.781672
-27.0,27,13.781728
-200.0,200,14.058514
-200.0,200,14.05866
-200.0,200,14.187545
-94.0,94,14.187646
-94.0,94,14.187693
-200.0,200,14.229875
-32.0,32,14.229993
-32.0,32,14.230042
-200.0,200,14.352025
-89.0,89,14.352129
-89.0,89,14.352174
-200.0,200,14.393019
-182.0,182,14.393127
-30.0,30,14.393176
-30.0,30,14.393219
-200.0,200,14.520913
-94.0,94,14.52102
-94.0,94,14.521068
-200.0,200,14.565799
-32.0,32,14.56592
-32.0,32,14.565967
-200.0,200,14.606699
-94.0,94,14.606806
-27.0,27,14.606854
-27.0,27,14.606894
-200.0,200,14.809258
-182.0,182,14.809402
-147.0,147,14.809458
-147.0,147,14.8095
-200.0,200,15.07997
-200.0,200,15.080103
-200.0,200,15.201968
-89.0,89,15.202084
-89.0,89,15.202145
-200.0,200,15.334835
-94.0,94,15.334973
-94.0,94,15.335035
-200.0,200,15.371078
-94.0,94,15.371199
-27.0,27,15.371246
-27.0,27,15.37131
-200.0,200,15.493342
-89.0,89,15.493463
-89.0,89,15.493508
-200.0,200,15.584383
-65.0,65,15.584496
-65.0,65,15.584541
-200.0,200,15.717183
-96.0,96,15.717287
-96.0,96,15.717334
