#{"t_start": 1540438251.398696, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.488553
-200.0,200,0.619673
-3.0,3,0.621809
-3.0,3,0.62369
-3.0,3,0.62559
-3.0,3,0.627409
-3.0,3,0.629231
-3.0,3,0.631173
-3.0,3,0.633156
-3.0,3,0.63517
-3.0,3,0.637031
-3.0,3,0.639096
-3.0,3,0.641401
-3.0,3,0.643204
-3.0,3,0.644962
-3.0,3,0.646923
-3.0,3,0.649181
-3.0,3,0.651379
-3.0,3,0.653429
-3.0,3,0.655714
-3.0,3,0.65803
-3.0,3,0.659991
-3.0,3,0.661917
-3.0,3,0.663767
-3.0,3,0.665708
-3.0,3,0.667452
-3.0,3,0.66938
-3.0,3,0.671236
-3.0,3,0.673099
-3.0,3,0.674939
-3.0,3,0.677812
-3.0,3,0.679724
-3.0,3,0.681693
-3.0,3,0.68373
-3.0,3,0.685734
-3.0,3,0.695151
-3.0,3,0.697182
-3.0,3,0.699047
-3.0,3,0.701028
-3.0,3,0.702765
-3.0,3,0.704663
-3.0,3,0.706498
-3.0,3,0.708576
-3.0,3,0.710378
-3.0,3,0.712487
-3.0,3,0.714601
-3.0,3,0.716212
-3.0,3,0.717781
-3.0,3,0.719194
-3.0,3,0.720714
-3.0,3,0.722145
-3.0,3,0.723617
-3.0,3,0.725104
-3.0,3,0.72645
-3.0,3,0.727766
-3.0,3,0.729786
-3.0,3,0.731037
-3.0,3,0.732552
-3.0,3,0.733937
-3.0,3,0.735134
-3.0,3,0.736462
-3.0,3,0.737772
-3.0,3,0.738889
-3.0,3,0.740385
-3.0,3,0.74176
-3.0,3,0.74317
-3.0,3,0.74445
-3.0,3,0.745768
-3.0,3,0.753312
-3.0,3,0.754507
-3.0,3,0.755719
-3.0,3,0.756935
-3.0,3,0.758253
-3.0,3,0.759663
-3.0,3,0.761069
-3.0,3,0.762316
-3.0,3,0.763675
-3.0,3,0.765518
-3.0,3,0.767575
-3.0,3,0.768923
-3.0,3,0.770232
-3.0,3,0.771714
-3.0,3,0.77301
-3.0,3,0.774246
-3.0,3,0.775476
-3.0,3,0.776833
-3.0,3,0.778131
-3.0,3,0.779525
-3.0,3,0.780866
-3.0,3,0.782222
-3.0,3,0.783625
-3.0,3,0.785275
-3.0,3,0.788375
-3.0,3,0.790322
-3.0,3,0.791684
-3.0,3,0.793005
-3.0,3,0.794218
-3.0,3,0.795484
-3.0,3,0.796944
-3.0,3,0.798373
-3.0,3,0.79963
-3.0,3,0.806821
-3.0,3,0.808071
