#{"t_start": 1540440825.8108766, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.5589
-200.0,200,0.671529
-3.0,3,0.673524
-3.0,3,0.675349
-3.0,3,0.676889
-3.0,3,0.678361
-3.0,3,0.679814
-3.0,3,0.68122
-3.0,3,0.682841
-3.0,3,0.684231
-3.0,3,0.685557
-3.0,3,0.687191
-3.0,3,0.688696
-3.0,3,0.690085
-3.0,3,0.691469
-3.0,3,0.693095
-3.0,3,0.695134
-3.0,3,0.6968
-3.0,3,0.698385
-3.0,3,0.699853
-3.0,3,0.701359
-3.0,3,0.702792
-3.0,3,0.704311
-3.0,3,0.705744
-3.0,3,0.707088
-3.0,3,0.708486
-3.0,3,0.709971
-3.0,3,0.711951
-3.0,3,0.713725
-3.0,3,0.715237
-3.0,3,0.716693
-3.0,3,0.718036
-3.0,3,0.719594
-3.0,3,0.721106
-3.0,3,0.722531
-3.0,3,0.730629
-3.0,3,0.732399
-3.0,3,0.733932
-3.0,3,0.735383
-3.0,3,0.736907
-3.0,3,0.738467
-3.0,3,0.739998
-3.0,3,0.741455
-3.0,3,0.742937
-3.0,3,0.744482
-3.0,3,0.74603
-3.0,3,0.748299
-3.0,3,0.749896
-3.0,3,0.751314
-3.0,3,0.753111
-3.0,3,0.754507
-3.0,3,0.755885
-3.0,3,0.757294
-3.0,3,0.758809
-3.0,3,0.760161
-3.0,3,0.761613
-3.0,3,0.762986
-3.0,3,0.764428
-3.0,3,0.765973
-3.0,3,0.768029
-3.0,3,0.770144
-3.0,3,0.771672
-3.0,3,0.773037
-3.0,3,0.774523
-3.0,3,0.776035
-3.0,3,0.777515
-3.0,3,0.778934
-3.0,3,0.780326
-3.0,3,0.789135
-3.0,3,0.790536
-3.0,3,0.792097
-3.0,3,0.79352
-3.0,3,0.794948
-3.0,3,0.796337
-3.0,3,0.797749
-3.0,3,0.799064
-3.0,3,0.800481
-3.0,3,0.802125
-3.0,3,0.803612
-3.0,3,0.805626
-3.0,3,0.807505
-3.0,3,0.808903
-3.0,3,0.810343
-3.0,3,0.811812
-3.0,3,0.813226
-3.0,3,0.814684
-3.0,3,0.816127
-3.0,3,0.817551
-3.0,3,0.819066
-3.0,3,0.820591
-3.0,3,0.822688
-3.0,3,0.825067
-3.0,3,0.826574
-3.0,3,0.828064
-3.0,3,0.829477
-3.0,3,0.830868
-3.0,3,0.832352
-3.0,3,0.833932
-3.0,3,0.835408
-3.0,3,0.836976
-3.0,3,0.8384
-3.0,3,0.846643
-3.0,3,0.848237
-3.0,3,0.849743
-3.0,3,0.851284
-3.0,3,0.852711
-3.0,3,0.854197
-3.0,3,0.85562
-3.0,3,0.857056
-3.0,3,0.858883
-3.0,3,0.86091
-3.0,3,0.862458
-3.0,3,0.864029
-3.0,3,0.865624
-3.0,3,0.867249
-3.0,3,0.869051
-3.0,3,0.870558
-3.0,3,0.872047
-3.0,3,0.873509
-3.0,3,0.875223
