#{"t_start": 1540441628.0636368, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.468518
-200.0,200,0.567405
-11.0,11,0.572827
-14.0,14,0.578369
-13.0,13,0.584689
-200.0,200,0.681399
-114.0,114,0.735471
-4.0,4,0.737304
-5.0,5,0.739569
-5.0,5,0.741951
-4.0,4,0.743812
-4.0,4,0.745848
-5.0,5,0.748309
-4.0,4,0.750057
-4.0,4,0.751759
-5.0,5,0.753894
-5.0,5,0.756028
-5.0,5,0.764085
-4.0,4,0.76597
-5.0,5,0.768227
-5.0,5,0.77053
-5.0,5,0.772714
-5.0,5,0.774863
-4.0,4,0.776613
-5.0,5,0.778713
-4.0,4,0.78057
-4.0,4,0.782601
-5.0,5,0.784946
-5.0,5,0.787344
-5.0,5,0.789663
-5.0,5,0.792035
-5.0,5,0.794312
-5.0,5,0.796758
-5.0,5,0.800418
-5.0,5,0.802856
-4.0,4,0.804723
-5.0,5,0.807
-5.0,5,0.809225
-5.0,5,0.816653
-5.0,5,0.819263
-5.0,5,0.821648
-5.0,5,0.823986
-5.0,5,0.826274
-5.0,5,0.828491
-5.0,5,0.830689
-5.0,5,0.833056
-5.0,5,0.836757
-4.0,4,0.838617
-5.0,5,0.840874
-5.0,5,0.843061
-4.0,4,0.84483
-5.0,5,0.84697
-5.0,5,0.849366
-5.0,5,0.851932
-5.0,5,0.854258
-5.0,5,0.856346
-5.0,5,0.858816
-5.0,5,0.861202
-5.0,5,0.870265
-138.0,138,1.139741
-200.0,200,1.421231
-200.0,200,1.690841
-200.0,200,1.968148
-181.0,181,2.220629
-197.0,197,2.495328
-200.0,200,2.775941
-200.0,200,3.058607
-200.0,200,3.342524
-200.0,200,3.621422
-200.0,200,3.884121
-200.0,200,4.162152
-200.0,200,4.443023
-200.0,200,4.744597
-200.0,200,5.024419
-200.0,200,5.324245
-200.0,200,5.619754
-131.0,131,5.788595
-200.0,200,6.042227
-200.0,200,6.310585
-200.0,200,6.588912
-200.0,200,6.859791
-200.0,200,7.121481
-200.0,200,7.40024
-76.0,76,7.505492
-200.0,200,7.781512
-200.0,200,8.035301
-200.0,200,8.296816
-200.0,200,8.563184
-200.0,200,8.874781
-200.0,200,9.1692
-200.0,200,9.462665
-200.0,200,9.751009
-200.0,200,10.043895
-200.0,200,10.311215
-200.0,200,10.583497
-200.0,200,10.912195
-200.0,200,11.191852
-200.0,200,11.488232
-200.0,200,11.771376
-200.0,200,12.023391
-200.0,200,12.27926
-200.0,200,12.578573
-200.0,200,12.859541
-200.0,200,13.160973
-200.0,200,13.442115
