#{"t_start": 1540468632.9178934, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.532412
-200.0,200,0.657336
-200.0,200,0.76996
-200.0,200,0.770059
-200.0,200,0.89634
-200.0,200,0.896466
-200.0,200,1.024321
-200.0,200,1.024444
-200.0,200,1.440295
-200.0,200,1.440431
-200.0,200,1.708971
-200.0,200,1.709072
-200.0,200,1.977085
-200.0,200,1.977193
-200.0,200,2.257588
-200.0,200,2.257695
-200.0,200,2.538941
-200.0,200,2.539048
-200.0,200,2.820322
-200.0,200,2.82042
-200.0,200,3.097597
-200.0,200,3.097709
-200.0,200,3.373171
-200.0,200,3.373271
-200.0,200,3.648941
-200.0,200,3.649036
-200.0,200,3.92932
-200.0,200,3.929419
-200.0,200,4.215063
-200.0,200,4.215179
-200.0,200,4.498177
-200.0,200,4.498276
-200.0,200,4.779015
-200.0,200,4.779116
-200.0,200,5.063759
-200.0,200,5.063855
-200.0,200,5.354011
-200.0,200,5.354138
-200.0,200,5.640473
-200.0,200,5.640621
-200.0,200,5.918033
-200.0,200,5.918126
-200.0,200,6.197637
-200.0,200,6.197741
-200.0,200,6.474735
-200.0,200,6.474833
-200.0,200,6.758087
-200.0,200,6.758249
-200.0,200,7.044184
-200.0,200,7.044503
-200.0,200,7.326813
-200.0,200,7.326905
-200.0,200,7.614591
-200.0,200,7.614704
-200.0,200,7.89944
-200.0,200,7.89954
-200.0,200,8.185209
-200.0,200,8.185313
-200.0,200,8.469565
-200.0,200,8.469704
-200.0,200,8.751962
-200.0,200,8.752054
-200.0,200,9.021135
-200.0,200,9.021229
-200.0,200,9.298407
-200.0,200,9.298506
-200.0,200,9.576043
-200.0,200,9.576151
-200.0,200,9.858002
-200.0,200,9.858123
-200.0,200,10.143277
-200.0,200,10.143488
-200.0,200,10.427973
-200.0,200,10.428097
-200.0,200,10.713002
-200.0,200,10.713095
-200.0,200,10.996016
-200.0,200,10.996115
-200.0,200,11.279567
-200.0,200,11.279684
-200.0,200,11.914197
-200.0,200,11.914299
-200.0,200,12.209356
-200.0,200,12.209456
-200.0,200,12.50326
-200.0,200,12.503362
-200.0,200,12.798793
-200.0,200,12.798895
-200.0,200,13.099351
-200.0,200,13.099455
-200.0,200,13.405572
-200.0,200,13.405688
-200.0,200,13.708014
-200.0,200,13.708113
-200.0,200,14.012572
-200.0,200,14.012671
-200.0,200,14.315855
-200.0,200,14.315958
-200.0,200,14.619335
-200.0,200,14.619437
-200.0,200,14.922891
-200.0,200,14.922991
-198.0,198,15.211977
-198.0,198,15.212098
-200.0,200,15.511116
-200.0,200,15.511238
-200.0,200,15.80443
-200.0,200,15.80455
-200.0,200,16.102468
-200.0,200,16.102597
-200.0,200,16.404115
-200.0,200,16.404241
-200.0,200,16.706781
-200.0,200,16.706902
-200.0,200,17.00866
-200.0,200,17.00878
-200.0,200,17.311302
-200.0,200,17.311423
-200.0,200,17.614847
-200.0,200,17.61497
-200.0,200,17.91795
-200.0,200,17.918077
-200.0,200,18.219688
-200.0,200,18.219807
-200.0,200,18.513782
-200.0,200,18.513918
-200.0,200,18.808101
-200.0,200,18.80822
-200.0,200,19.102396
-200.0,200,19.102513
-200.0,200,19.40305
-200.0,200,19.403173
-200.0,200,19.707726
-200.0,200,19.707848
-200.0,200,20.011281
-200.0,200,20.0114
-200.0,200,20.313572
-200.0,200,20.313717
-200.0,200,20.617999
-200.0,200,20.618119
-200.0,200,20.917919
-200.0,200,20.918069
-200.0,200,21.222555
-200.0,200,21.222675
-200.0,200,21.519072
-200.0,200,21.519194
-200.0,200,21.81287
-200.0,200,21.81299
-200.0,200,22.107141
-200.0,200,22.107276
-200.0,200,22.40992
-200.0,200,22.410043
-200.0,200,22.709583
-200.0,200,22.709718
-200.0,200,23.010819
-200.0,200,23.010938
-200.0,200,23.313669
-200.0,200,23.313788
-200.0,200,23.61548
-200.0,200,23.615601
-200.0,200,23.916912
-200.0,200,23.917032
-200.0,200,24.218338
-200.0,200,24.218456
-200.0,200,24.517242
-200.0,200,24.517361
-200.0,200,24.812037
-200.0,200,24.812156
-200.0,200,25.106077
-200.0,200,25.106196
-200.0,200,25.403286
-200.0,200,25.403402
-200.0,200,25.706883
-200.0,200,25.707002
-200.0,200,26.009017
-200.0,200,26.00914
-200.0,200,26.310333
-200.0,200,26.310454
-200.0,200,26.612748
-200.0,200,26.612868
-200.0,200,26.915141
-200.0,200,26.915264
-200.0,200,27.217338
-200.0,200,27.217462
-200.0,200,27.510287
-200.0,200,27.510408
-200.0,200,27.80555
-200.0,200,27.805686
-200.0,200,28.269016
-200.0,200,28.269165
-200.0,200,28.671558
-200.0,200,28.671704
-200.0,200,29.072496
-200.0,200,29.072682
-200.0,200,29.470016
-200.0,200,29.470166
-200.0,200,29.869772
-200.0,200,29.86992
-200.0,200,30.270395
-200.0,200,30.270543
-200.0,200,30.663721
-200.0,200,30.663864
-200.0,200,30.997013
-200.0,200,30.997143
-200.0,200,31.323879
-200.0,200,31.324007
-200.0,200,31.658313
-200.0,200,31.658457
-200.0,200,31.997452
-200.0,200,31.997584
-200.0,200,32.331959
-200.0,200,32.332097
-200.0,200,32.669581
-200.0,200,32.669746
-200.0,200,33.004943
-200.0,200,33.005074
-200.0,200,33.34277
-200.0,200,33.342912
-200.0,200,33.677832
-200.0,200,33.677963
-200.0,200,33.956586
-200.0,200,33.956702
-200.0,200,34.234941
-200.0,200,34.235057
-200.0,200,34.514046
-200.0,200,34.514161
-200.0,200,34.827805
-200.0,200,34.827928
-200.0,200,35.143246
-200.0,200,35.143368
-200.0,200,35.455982
-200.0,200,35.456105
-200.0,200,35.769865
-200.0,200,35.769987
-200.0,200,36.086128
-200.0,200,36.086253
-200.0,200,36.399919
-200.0,200,36.400039
-200.0,200,36.711735
-200.0,200,36.711855
-200.0,200,37.014201
-200.0,200,37.01432
-200.0,200,37.318421
-200.0,200,37.318542
-200.0,200,37.622049
-200.0,200,37.62217
-200.0,200,37.935021
-200.0,200,37.935179
-200.0,200,38.24876
-200.0,200,38.248911
-200.0,200,38.564113
-200.0,200,38.564235
-200.0,200,38.876905
-200.0,200,38.877063
-200.0,200,39.188173
-200.0,200,39.188316
-200.0,200,39.46989
-200.0,200,39.470004
-200.0,200,39.754352
-200.0,200,39.75447
-200.0,200,40.030822
-200.0,200,40.030935
-200.0,200,40.307105
-200.0,200,40.307222
-200.0,200,40.582039
-200.0,200,40.582157
-200.0,200,40.860631
-200.0,200,40.860761
-200.0,200,41.143896
-200.0,200,41.144018
-200.0,200,41.4275
-200.0,200,41.427615
-200.0,200,41.711773
-200.0,200,41.711898
-200.0,200,41.999046
-200.0,200,41.999164
-200.0,200,42.281323
-200.0,200,42.281441
-200.0,200,42.566273
-200.0,200,42.56639
-200.0,200,42.850623
-200.0,200,42.85074
-200.0,200,43.126342
-200.0,200,43.126456
-200.0,200,43.403286
-200.0,200,43.403399
-200.0,200,43.679854
-200.0,200,43.679972
-200.0,200,43.957441
-200.0,200,43.957574
-200.0,200,44.239212
-200.0,200,44.239327
-200.0,200,44.521137
-200.0,200,44.521253
-200.0,200,44.806291
-200.0,200,44.806407
-200.0,200,45.088685
-200.0,200,45.088803
-200.0,200,45.373473
-200.0,200,45.373588
-200.0,200,45.659638
-200.0,200,45.659753
-200.0,200,45.943881
-200.0,200,45.944002
-200.0,200,46.222354
-200.0,200,46.222467
-200.0,200,46.499194
-200.0,200,46.499307
-200.0,200,46.778057
-200.0,200,46.778172
-200.0,200,47.056848
-200.0,200,47.056966
-200.0,200,47.338006
-200.0,200,47.338123
-200.0,200,47.621975
-200.0,200,47.622141
-200.0,200,47.906223
-200.0,200,47.906348
-200.0,200,48.19128
-200.0,200,48.191396
-200.0,200,48.477098
-200.0,200,48.477228
-200.0,200,48.760331
-200.0,200,48.760448
-200.0,200,49.036976
-200.0,200,49.037094
-200.0,200,49.311962
-200.0,200,49.312075
-200.0,200,49.591315
-200.0,200,49.591431
-200.0,200,49.869596
-200.0,200,49.869722
-200.0,200,50.152111
-200.0,200,50.152221
-200.0,200,50.434722
-200.0,200,50.434848
-200.0,200,50.715601
-200.0,200,50.715717
-200.0,200,51.002403
-200.0,200,51.002528
-200.0,200,51.288352
-200.0,200,51.288471
-200.0,200,51.573198
-200.0,200,51.57332
-200.0,200,51.854398
-200.0,200,51.854515
-200.0,200,52.135257
-200.0,200,52.135372
-200.0,200,52.412654
-200.0,200,52.412788
-200.0,200,52.690552
-200.0,200,52.690667
-200.0,200,52.966381
-200.0,200,52.966497
-200.0,200,53.246174
-200.0,200,53.246292
-200.0,200,53.528527
-200.0,200,53.528664
-200.0,200,53.814512
-200.0,200,53.814628
-200.0,200,54.100275
-200.0,200,54.100393
-200.0,200,54.385602
-200.0,200,54.385727
-200.0,200,54.66842
-200.0,200,54.668535
-200.0,200,54.949287
-200.0,200,54.9494
-200.0,200,55.230507
-200.0,200,55.230623
-200.0,200,55.505322
-200.0,200,55.505438
-200.0,200,55.783741
-200.0,200,55.783857
-200.0,200,56.058628
-200.0,200,56.058753
-200.0,200,56.337842
-200.0,200,56.337959
-200.0,200,56.623816
-200.0,200,56.623935
-200.0,200,56.907726
-200.0,200,56.907838
-200.0,200,57.190121
-200.0,200,57.190293
-200.0,200,57.475715
-200.0,200,57.475831
-200.0,200,57.761934
-200.0,200,57.762049
-200.0,200,58.049605
-200.0,200,58.049727
-200.0,200,58.333001
-200.0,200,58.333117
-200.0,200,58.610291
-200.0,200,58.610405
-200.0,200,58.887821
-200.0,200,58.887933
-200.0,200,59.165118
-200.0,200,59.165233
-200.0,200,59.447759
-200.0,200,59.447892
-200.0,200,59.734526
-200.0,200,59.734646
-200.0,200,60.020809
-200.0,200,60.020924
-200.0,200,60.303195
-200.0,200,60.303309
-200.0,200,60.585872
-200.0,200,60.585993
-200.0,200,60.869984
-200.0,200,60.870099
-200.0,200,61.15313
-200.0,200,61.153247
-200.0,200,61.441521
-200.0,200,61.441636
-200.0,200,61.719495
-200.0,200,61.71961
-200.0,200,61.997115
-200.0,200,61.997229
-200.0,200,62.273138
-200.0,200,62.273257
-200.0,200,62.55282
-200.0,200,62.552936
-200.0,200,62.835896
-200.0,200,62.836015
-200.0,200,63.117924
-200.0,200,63.118039
-178.0,178,63.37257
-178.0,178,63.372684
-200.0,200,63.658592
-200.0,200,63.658751
-200.0,200,63.943362
-200.0,200,63.943478
-200.0,200,64.226637
-200.0,200,64.22675
-200.0,200,64.510044
-200.0,200,64.510159
-169.0,169,64.745535
-169.0,169,64.745693
-200.0,200,65.024251
-200.0,200,65.024366
-200.0,200,65.300295
-200.0,200,65.30041
-200.0,200,65.577164
-200.0,200,65.577281
-200.0,200,65.859717
-200.0,200,65.859834
-175.0,175,66.108839
-175.0,175,66.108953
-168.0,168,66.346777
-168.0,168,66.346894
-177.0,177,66.599102
-177.0,177,66.599218
-200.0,200,66.889321
-200.0,200,66.889439
-175.0,175,67.141762
-175.0,175,67.141895
-164.0,164,67.375568
-164.0,164,67.375676
-169.0,169,67.6138
-169.0,169,67.613916
-150.0,150,67.82598
-150.0,150,67.826092
