#{"t_start": 1540776367.6420288, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.483264
-200.0,200,0.597337
-200.0,200,0.740357
-200.0,200,0.951033
-200.0,200,1.090256
-4.0,4,1.210338
-200.0,200,1.482553
-200.0,200,1.77502
-200.0,200,2.095087
-200.0,200,2.431902
-200.0,200,2.767433
-200.0,200,3.105021
-200.0,200,3.443318
-200.0,200,3.781533
-200.0,200,4.118312
-200.0,200,4.457384
-200.0,200,4.794995
-200.0,200,5.131762
-200.0,200,5.470171
-200.0,200,5.809019
-200.0,200,6.145733
-200.0,200,6.484486
-200.0,200,6.820403
-200.0,200,7.198623
-200.0,200,7.613002
-200.0,200,8.065697
-10.0,10,8.087327
-200.0,200,8.458814
-200.0,200,8.827779
-200.0,200,9.197571
-200.0,200,9.466425
-200.0,200,9.721701
-200.0,200,9.97748
-200.0,200,10.245309
-200.0,200,10.526358
-17.0,17,10.549862
-200.0,200,10.827476
-200.0,200,11.110265
-200.0,200,11.393227
-9.0,9,11.40596
-200.0,200,11.690707
-200.0,200,12.030009
-200.0,200,12.320009
-200.0,200,12.634532
-200.0,200,12.986097
-200.0,200,13.354033
-200.0,200,13.7232
-200.0,200,14.089987
-200.0,200,14.523686
-200.0,200,15.038064
-3.0,3,15.045978
-200.0,200,15.556896
-200.0,200,16.070586
-200.0,200,16.474755
-9.0,9,16.487576
-200.0,200,16.779265
-200.0,200,17.070292
-200.0,200,17.365289
-200.0,200,17.689984
-200.0,200,18.022108
-200.0,200,18.319632
-200.0,200,18.591887
-200.0,200,18.865233
-200.0,200,19.137933
-200.0,200,19.412863
-200.0,200,19.686662
-3.0,3,19.69082
-145.0,145,19.889722
-200.0,200,20.162929
-19.0,19,20.188911
-200.0,200,20.463848
-200.0,200,20.736352
-200.0,200,21.011513
-200.0,200,21.284989
-200.0,200,21.558253
-200.0,200,21.852558
-200.0,200,22.190675
-200.0,200,22.5317
-200.0,200,22.863415
-200.0,200,23.15436
-200.0,200,23.44403
-200.0,200,23.738935
-200.0,200,24.089546
-200.0,200,24.445914
-200.0,200,24.79817
-200.0,200,25.152804
-200.0,200,25.506579
-200.0,200,25.860543
-200.0,200,26.213978
-200.0,200,26.567548
-200.0,200,26.92393
-117.0,117,27.129864
-200.0,200,27.485116
-200.0,200,27.862619
-200.0,200,28.282263
-200.0,200,28.765851
-44.0,44,28.869102
-200.0,200,29.350696
-200.0,200,29.841936
-56.0,56,30.010246
-200.0,200,30.597702
-200.0,200,31.178655
-200.0,200,31.632074
-200.0,200,32.085512
-200.0,200,32.507908
-200.0,200,32.783045
-200.0,200,33.055706
-200.0,200,33.330307
-200.0,200,33.604548
-3.0,3,33.608578
-200.0,200,33.933223
-200.0,200,34.320389
-200.0,200,34.711627
-200.0,200,35.17641
-200.0,200,35.835287
-200.0,200,36.350184
-200.0,200,36.811025
-200.0,200,37.219039
-200.0,200,37.627759
-200.0,200,38.033104
-200.0,200,38.442029
-200.0,200,38.849896
-200.0,200,39.257576
-200.0,200,39.66526
-200.0,200,39.987576
-200.0,200,40.263457
-200.0,200,40.559379
-146.0,146,40.777792
-200.0,200,41.079019
-200.0,200,41.38207
-200.0,200,41.682728
-4.0,4,41.688789
-200.0,200,41.990785
-200.0,200,42.294426
-200.0,200,42.59729
-200.0,200,42.922983
-200.0,200,43.262985
-200.0,200,43.604617
-200.0,200,43.943657
-200.0,200,44.283639
-200.0,200,44.624984
-200.0,200,44.9634
-115.0,115,45.182854
-200.0,200,45.569461
-200.0,200,45.971308
-200.0,200,46.423445
-200.0,200,46.751361
-3.0,3,46.755265
-200.0,200,47.019472
-200.0,200,47.282907
-200.0,200,47.548611
-200.0,200,47.812224
-187.0,187,48.058776
-200.0,200,48.352578
-200.0,200,48.653263
-3.0,3,48.658265
-145.0,145,48.929187
-3.0,3,48.934691
-200.0,200,49.33741
-200.0,200,49.767926
-200.0,200,50.196165
-9.0,9,50.215825
-200.0,200,50.505871
-200.0,200,50.78613
-200.0,200,51.078114
-200.0,200,51.369737
-11.0,11,51.385577
-200.0,200,51.690867
-200.0,200,52.017258
-200.0,200,52.343917
-4.0,4,52.350741
-200.0,200,52.705878
-200.0,200,53.135486
-8.0,8,53.152559
-200.0,200,53.522425
-200.0,200,53.795428
-200.0,200,54.09534
-200.0,200,54.422819
-200.0,200,54.749022
-200.0,200,55.075109
-200.0,200,55.402619
-3.0,3,55.407503
-200.0,200,55.733574
-200.0,200,56.059557
-200.0,200,56.388694
-200.0,200,56.708894
-11.0,11,56.724253
-9.0,9,56.740614
-200.0,200,57.01789
-42.0,42,57.069548
-200.0,200,57.335814
-200.0,200,57.601
-200.0,200,57.868216
-3.0,3,57.872184
-200.0,200,58.137468
-200.0,200,58.403517
-200.0,200,58.670675
-200.0,200,58.937998
-200.0,200,59.203018
-11.0,11,59.217563
-200.0,200,59.485436
-200.0,200,59.751835
-4.0,4,59.757224
-200.0,200,60.025746
-200.0,200,60.291567
-200.0,200,60.559255
-200.0,200,60.87475
-200.0,200,61.200817
-200.0,200,61.525956
-200.0,200,61.853973
-200.0,200,62.178719
-200.0,200,62.505359
-200.0,200,62.78008
-200.0,200,63.049556
-3.0,3,63.053716
-3.0,3,63.057638
-10.0,10,63.070869
-200.0,200,63.340748
-200.0,200,63.609697
-200.0,200,63.880594
-200.0,200,64.175474
-8.0,8,64.187077
-200.0,200,64.484148
