#{"t_start": 1540790587.0152433, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.49639
-200.0,200,0.656064
-200.0,200,0.819716
-200.0,200,0.819924
-200.0,200,1.049931
-200.0,200,1.050126
-200.0,200,1.304857
-200.0,200,1.305109
-200.0,200,1.706584
-200.0,200,1.706675
-200.0,200,1.980464
-200.0,200,1.980569
-200.0,200,2.243276
-200.0,200,2.243385
-200.0,200,2.501856
-200.0,200,2.501948
-200.0,200,2.759534
-200.0,200,2.759633
-200.0,200,3.031195
-200.0,200,3.03129
-200.0,200,3.304235
-200.0,200,3.304341
-200.0,200,3.574848
-200.0,200,3.574947
-200.0,200,3.847431
-200.0,200,3.847528
-200.0,200,4.119539
-200.0,200,4.119642
-200.0,200,4.391498
-200.0,200,4.391591
-200.0,200,4.659994
-200.0,200,4.660088
-200.0,200,4.931383
-200.0,200,4.931485
-200.0,200,5.204468
-200.0,200,5.204565
-200.0,200,5.475719
-200.0,200,5.475812
-200.0,200,5.7445
-200.0,200,5.744595
-200.0,200,6.007894
-200.0,200,6.007985
-200.0,200,6.26574
-200.0,200,6.265834
-200.0,200,6.535109
-200.0,200,6.535206
-200.0,200,6.805851
-200.0,200,6.80595
-200.0,200,7.077945
-200.0,200,7.078048
-200.0,200,7.35007
-200.0,200,7.350166
-200.0,200,7.622797
-200.0,200,7.622891
-200.0,200,7.895418
-200.0,200,7.895516
-200.0,200,8.167143
-200.0,200,8.167235
-200.0,200,8.440576
-200.0,200,8.440682
-200.0,200,8.710389
-200.0,200,8.710482
-200.0,200,8.970087
-200.0,200,8.970201
-200.0,200,9.226331
-200.0,200,9.22642
-200.0,200,9.492138
-200.0,200,9.492245
-200.0,200,9.762108
-200.0,200,9.762208
-200.0,200,10.03322
-200.0,200,10.033332
-200.0,200,10.303026
-200.0,200,10.303123
-200.0,200,10.570325
-200.0,200,10.570419
-200.0,200,10.838021
-200.0,200,10.838124
-200.0,200,11.107309
-200.0,200,11.107403
-200.0,200,11.377522
-200.0,200,11.377623
-200.0,200,11.648956
-200.0,200,11.649056
-200.0,200,11.920312
-200.0,200,11.920404
-200.0,200,12.190547
-200.0,200,12.190647
-200.0,200,12.460426
-200.0,200,12.460559
-200.0,200,12.728393
-200.0,200,12.728495
-200.0,200,12.999562
-200.0,200,12.999661
-200.0,200,13.270701
-200.0,200,13.2708
-200.0,200,13.540267
-200.0,200,13.540371
-200.0,200,13.812252
-200.0,200,13.812348
-200.0,200,14.084986
-200.0,200,14.085086
-200.0,200,14.355378
-200.0,200,14.355477
-200.0,200,14.626909
-200.0,200,14.627003
-200.0,200,14.898974
-200.0,200,14.899078
-200.0,200,15.168358
-200.0,200,15.168452
-200.0,200,15.438758
-200.0,200,15.438853
-200.0,200,15.711877
-200.0,200,15.711986
-200.0,200,15.984604
-200.0,200,15.9847
-200.0,200,16.253507
-200.0,200,16.253599
-200.0,200,16.525426
-200.0,200,16.525537
-200.0,200,16.795688
-200.0,200,16.795791
-200.0,200,17.06704
-200.0,200,17.067131
-200.0,200,17.336177
-200.0,200,17.336268
-200.0,200,17.607021
-200.0,200,17.607121
-200.0,200,17.877595
-200.0,200,17.877692
-200.0,200,18.148132
-200.0,200,18.148239
-200.0,200,18.417793
-200.0,200,18.417898
-200.0,200,18.686857
-200.0,200,18.686952
-200.0,200,18.959342
-200.0,200,18.959435
-200.0,200,19.230725
-200.0,200,19.230829
-200.0,200,19.500385
-200.0,200,19.500481
-200.0,200,19.770881
-200.0,200,19.770973
-200.0,200,20.042117
-200.0,200,20.042217
-200.0,200,20.312635
-200.0,200,20.312739
-200.0,200,20.583438
-200.0,200,20.583531
-200.0,200,20.853242
-200.0,200,20.853338
-200.0,200,21.124314
-200.0,200,21.124412
-200.0,200,21.393929
-200.0,200,21.394033
-200.0,200,21.66609
-200.0,200,21.666186
-200.0,200,21.935501
-200.0,200,21.935606
-200.0,200,22.20472
-200.0,200,22.204813
-200.0,200,22.477738
-200.0,200,22.477833
-200.0,200,22.746306
-200.0,200,22.746416
-200.0,200,23.017243
-200.0,200,23.017346
-200.0,200,23.288222
-200.0,200,23.288317
-200.0,200,23.560517
-200.0,200,23.560621
-200.0,200,23.8332
-200.0,200,23.833292
-200.0,200,24.104622
-200.0,200,24.104717
-200.0,200,24.37635
-200.0,200,24.376454
-200.0,200,24.646264
-200.0,200,24.646363
-200.0,200,24.91673
-200.0,200,24.916824
-200.0,200,25.187525
-200.0,200,25.187627
-200.0,200,25.460544
-200.0,200,25.460643
-200.0,200,25.731553
-200.0,200,25.731648
-200.0,200,26.001333
-200.0,200,26.001435
-200.0,200,26.27196
-200.0,200,26.272063
-200.0,200,26.542934
-200.0,200,26.543031
-200.0,200,26.81368
-200.0,200,26.813802
-200.0,200,27.084409
-200.0,200,27.084512
-200.0,200,27.356743
-200.0,200,27.356836
-200.0,200,27.628216
-200.0,200,27.628326
-200.0,200,27.901049
-200.0,200,27.901143
-200.0,200,28.166145
-200.0,200,28.166234
-200.0,200,28.436766
-200.0,200,28.436858
-200.0,200,28.707489
-200.0,200,28.707593
-200.0,200,28.980898
-200.0,200,28.980996
-200.0,200,29.250466
-200.0,200,29.250564
-200.0,200,29.521415
-200.0,200,29.521517
-200.0,200,29.792613
-200.0,200,29.792707
-200.0,200,30.064712
-200.0,200,30.064811
-200.0,200,30.333875
-200.0,200,30.33398
-200.0,200,30.604894
-200.0,200,30.604989
-200.0,200,30.872882
-200.0,200,30.872971
-200.0,200,31.131202
-200.0,200,31.131305
-200.0,200,31.399365
-200.0,200,31.399462
-200.0,200,31.660707
-200.0,200,31.660807
-200.0,200,31.933675
-200.0,200,31.933769
-200.0,200,32.204107
-200.0,200,32.204211
-200.0,200,32.475706
-200.0,200,32.475808
-200.0,200,32.745514
-200.0,200,32.745614
-200.0,200,33.014095
-200.0,200,33.01418
-200.0,200,33.28434
-200.0,200,33.284434
-200.0,200,33.553855
-200.0,200,33.553953
-200.0,200,33.825751
-200.0,200,33.82585
-200.0,200,34.095305
-200.0,200,34.095401
-200.0,200,34.365026
-200.0,200,34.365119
-200.0,200,34.63538
-200.0,200,34.635481
-200.0,200,34.906866
-200.0,200,34.906959
-200.0,200,35.177515
-200.0,200,35.177613
-200.0,200,35.445439
-200.0,200,35.445531
-200.0,200,35.706958
-200.0,200,35.707051
-200.0,200,35.98007
-200.0,200,35.98018
-200.0,200,36.249071
-200.0,200,36.249181
-200.0,200,36.519553
-200.0,200,36.519647
-200.0,200,36.78904
-200.0,200,36.789132
-200.0,200,37.057312
-200.0,200,37.057413
-200.0,200,37.325423
-200.0,200,37.325521
-200.0,200,37.595055
-200.0,200,37.595157
-200.0,200,37.865951
-200.0,200,37.866045
-200.0,200,38.135517
-200.0,200,38.13562
-200.0,200,38.404807
-200.0,200,38.404907
-200.0,200,38.674399
-200.0,200,38.6745
-200.0,200,38.945397
-200.0,200,38.945492
-200.0,200,39.20814
-200.0,200,39.20824
-200.0,200,39.465409
-200.0,200,39.465505
-200.0,200,39.726767
-200.0,200,39.726864
-200.0,200,39.982101
-200.0,200,39.982192
-200.0,200,40.253295
-200.0,200,40.25339
-200.0,200,40.524398
-200.0,200,40.524498
-200.0,200,40.79619
-200.0,200,40.796296
-198.0,198,41.059561
-198.0,198,41.059675
-200.0,200,41.332841
-200.0,200,41.332955
-200.0,200,41.604953
-200.0,200,41.605067
-200.0,200,41.875217
-200.0,200,41.875336
