#{"t_start": 1540960133.9278615, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.499673
-200.0,200,0.603597
-200.0,200,0.696714
-200.0,200,0.696822
-200.0,200,0.793026
-200.0,200,0.793121
-200.0,200,0.885468
-200.0,200,0.885552
-200.0,200,1.268769
-200.0,200,1.268881
-200.0,200,1.359418
-65.0,65,1.359518
-65.0,65,1.359562
-200.0,200,1.641259
-200.0,200,1.641372
-200.0,200,1.772105
-94.0,94,1.772231
-94.0,94,1.772281
-200.0,200,1.808591
-94.0,94,1.808703
-27.0,27,1.808767
-27.0,27,1.808807
-200.0,200,2.088484
-200.0,200,2.088594
-200.0,200,2.129197
-94.0,94,2.12936
-27.0,27,2.129429
-27.0,27,2.129488
-200.0,200,2.264072
-94.0,94,2.264171
-94.0,94,2.264217
-200.0,200,2.308171
-32.0,32,2.308295
-32.0,32,2.308357
-200.0,200,2.352389
-32.0,32,2.35252
-32.0,32,2.352566
-200.0,200,2.628752
-200.0,200,2.628861
-200.0,200,2.677306
-32.0,32,2.677411
-32.0,32,2.677455
-200.0,200,2.71344
-94.0,94,2.713559
-27.0,27,2.713612
-27.0,27,2.713682
-200.0,200,2.849916
-94.0,94,2.850019
-94.0,94,2.850081
-200.0,200,3.13123
-200.0,200,3.131338
-200.0,200,3.16755
-94.0,94,3.167651
-27.0,27,3.167697
-27.0,27,3.167736
-200.0,200,3.298033
-94.0,94,3.298156
-94.0,94,3.298204
-200.0,200,3.336052
-94.0,94,3.336173
-27.0,27,3.336251
-27.0,27,3.33629
-200.0,200,3.374131
-94.0,94,3.37423
-27.0,27,3.374277
-27.0,27,3.374317
-200.0,200,3.4659
-65.0,65,3.466003
-65.0,65,3.466048
-200.0,200,3.743027
-200.0,200,3.743131
-200.0,200,3.786591
-32.0,32,3.786702
-32.0,32,3.786749
-200.0,200,3.877696
-65.0,65,3.877835
-65.0,65,3.877882
-200.0,200,4.150872
-200.0,200,4.151038
-200.0,200,4.189242
-94.0,94,4.189382
-27.0,27,4.189444
-27.0,27,4.189483
-200.0,200,4.239529
-32.0,32,4.239656
-32.0,32,4.239703
-200.0,200,4.3702
-94.0,94,4.370306
-94.0,94,4.3704
-200.0,200,4.652891
-200.0,200,4.652995
-200.0,200,4.696597
-32.0,32,4.696712
-32.0,32,4.696759
-200.0,200,4.732375
-94.0,94,4.732484
-27.0,27,4.73253
-27.0,27,4.732569
-200.0,200,5.006269
-200.0,200,5.006385
-200.0,200,5.048278
-94.0,94,5.048389
-27.0,27,5.048437
-27.0,27,5.048476
-200.0,200,5.323464
-200.0,200,5.323577
-200.0,200,5.37023
-32.0,32,5.370388
-32.0,32,5.370537
-200.0,200,5.502228
-94.0,94,5.502352
-94.0,94,5.5024
-200.0,200,5.635103
-94.0,94,5.635258
-94.0,94,5.635305
-200.0,200,5.68007
-32.0,32,5.680202
-32.0,32,5.680248
-200.0,200,5.957993
-200.0,200,5.958116
-200.0,200,6.243836
-200.0,200,6.243994
-200.0,200,6.521096
-200.0,200,6.521217
-200.0,200,6.559551
-94.0,94,6.55969
-27.0,27,6.559741
-27.0,27,6.559783
-200.0,200,6.601418
-94.0,94,6.601518
-27.0,27,6.601581
-27.0,27,6.601621
