#{"t_start": 1541037571.548772, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.465625
-200.0,200,0.565648
-200.0,200,0.654859
-200.0,200,0.654952
-200.0,200,0.745574
-200.0,200,0.745663
-200.0,200,0.838784
-200.0,200,0.838871
-200.0,200,1.178449
-200.0,200,1.178537
-200.0,200,1.262191
-65.0,65,1.262319
-65.0,65,1.26237
-200.0,200,1.529995
-200.0,200,1.530135
-200.0,200,1.657592
-94.0,94,1.657717
-94.0,94,1.657769
-200.0,200,1.692732
-94.0,94,1.692866
-27.0,27,1.69296
-27.0,27,1.693018
-200.0,200,1.965555
-200.0,200,1.965678
-200.0,200,2.004468
-94.0,94,2.00461
-27.0,27,2.004696
-27.0,27,2.004738
-200.0,200,2.131927
-94.0,94,2.13203
-94.0,94,2.132077
-200.0,200,2.175486
-32.0,32,2.175595
-32.0,32,2.175647
-200.0,200,2.217241
-32.0,32,2.217348
-32.0,32,2.217399
-200.0,200,2.485446
-200.0,200,2.485564
-200.0,200,2.531246
-32.0,32,2.53135
-32.0,32,2.531404
-200.0,200,2.566417
-94.0,94,2.566521
-27.0,27,2.566569
-27.0,27,2.566617
-200.0,200,2.695203
-94.0,94,2.695313
-94.0,94,2.695365
-200.0,200,2.964308
-200.0,200,2.96443
-200.0,200,2.999741
-94.0,94,2.999872
-27.0,27,2.99992
-27.0,27,2.999959
-200.0,200,3.129729
-94.0,94,3.129872
-94.0,94,3.12992
-200.0,200,3.165099
-94.0,94,3.165215
-27.0,27,3.165288
-27.0,27,3.165349
-200.0,200,3.200591
-94.0,94,3.200709
-27.0,27,3.200787
-27.0,27,3.200857
-200.0,200,3.290119
-65.0,65,3.290249
-65.0,65,3.290304
-200.0,200,3.559951
-200.0,200,3.560064
-200.0,200,3.602966
-32.0,32,3.603087
-32.0,32,3.603142
-200.0,200,3.692076
-65.0,65,3.692206
-65.0,65,3.693303
-200.0,200,3.960243
-200.0,200,3.960365
-200.0,200,3.996212
-94.0,94,3.996315
-27.0,27,3.996362
-27.0,27,3.99642
-200.0,200,4.043847
-32.0,32,4.043952
-32.0,32,4.044001
-200.0,200,4.171682
-94.0,94,4.171785
-94.0,94,4.171834
-200.0,200,4.441961
-200.0,200,4.442069
-200.0,200,4.485157
-32.0,32,4.485263
-32.0,32,4.485316
-200.0,200,4.520376
-94.0,94,4.520498
-27.0,27,4.52055
-27.0,27,4.520606
-200.0,200,4.786629
-200.0,200,4.786766
-200.0,200,4.826665
-94.0,94,4.826754
-27.0,27,4.826806
-27.0,27,4.826851
-200.0,200,5.095101
-200.0,200,5.095192
-200.0,200,5.137132
-32.0,32,5.137235
-32.0,32,5.137287
-200.0,200,5.263893
-94.0,94,5.263999
-94.0,94,5.26405
-200.0,200,5.390627
-94.0,94,5.390763
-94.0,94,5.390816
-200.0,200,5.433322
-32.0,32,5.433476
-32.0,32,5.433544
-200.0,200,5.700427
-200.0,200,5.700547
-200.0,200,5.964926
-200.0,200,5.965053
-200.0,200,6.230399
-200.0,200,6.230506
-200.0,200,6.266438
-94.0,94,6.266541
-27.0,27,6.26659
-27.0,27,6.266641
