#{"t_start": 1541149729.9541185, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.525107
-200.0,200,0.636506
-200.0,200,0.73161
-200.0,200,0.855952
-200.0,200,1.054534
-200.0,200,1.454246
-200.0,200,1.74327
-200.0,200,2.035614
-200.0,200,2.326884
-200.0,200,2.618575
-200.0,200,2.88678
-200.0,200,3.144077
-200.0,200,3.407459
-200.0,200,3.673298
-200.0,200,3.93903
-182.0,182,4.170906
-200.0,200,4.426762
-200.0,200,4.681926
-200.0,200,4.949666
-200.0,200,5.217647
-200.0,200,5.485512
-200.0,200,5.753668
-200.0,200,6.020803
-200.0,200,6.287793
-200.0,200,6.555073
-200.0,200,6.815459
-200.0,200,7.08013
-200.0,200,7.343724
-200.0,200,7.609836
-200.0,200,7.864253
-200.0,200,8.130605
-200.0,200,8.393727
-200.0,200,8.660981
-200.0,200,8.929727
-200.0,200,9.196557
-200.0,200,9.452223
-200.0,200,9.717068
-197.0,197,9.980897
-200.0,200,10.248805
-200.0,200,10.514379
-200.0,200,10.807487
-200.0,200,11.100873
-200.0,200,11.396671
-200.0,200,11.690568
-200.0,200,11.984635
-200.0,200,12.280316
-200.0,200,12.554072
-200.0,200,12.814147
-200.0,200,13.072476
-200.0,200,13.336994
-200.0,200,13.604164
-200.0,200,13.871336
-200.0,200,14.140119
-200.0,200,14.411006
-200.0,200,14.677387
-200.0,200,14.942736
-200.0,200,15.20791
-200.0,200,15.484815
-200.0,200,15.779606
-200.0,200,16.075397
-200.0,200,16.368885
-200.0,200,16.662153
-200.0,200,16.955837
-200.0,200,17.24815
-200.0,200,17.542051
-200.0,200,17.83986
-200.0,200,18.135199
-200.0,200,18.430434
-200.0,200,18.725404
-200.0,200,19.018839
-200.0,200,19.325224
-200.0,200,19.645845
-200.0,200,19.912143
-200.0,200,20.176214
-200.0,200,20.443216
-200.0,200,20.710719
-200.0,200,20.979484
-200.0,200,21.244603
-200.0,200,21.509331
-200.0,200,21.775885
-200.0,200,22.042021
-200.0,200,22.302009
-200.0,200,22.565584
-200.0,200,22.835621
-200.0,200,23.100953
-200.0,200,23.367435
-200.0,200,23.634473
-200.0,200,23.900544
-200.0,200,24.165438
-200.0,200,24.443023
-200.0,200,24.701691
-200.0,200,24.961987
-200.0,200,25.222423
-200.0,200,25.481793
-200.0,200,25.73679
-200.0,200,26.005776
-200.0,200,26.274811
-200.0,200,26.544792
-200.0,200,26.811913
-200.0,200,27.078333
-200.0,200,27.345962
-200.0,200,27.612671
-200.0,200,27.88009
-200.0,200,28.147642
-200.0,200,28.413195
-200.0,200,28.682503
-200.0,200,28.942648
-200.0,200,29.209168
-200.0,200,29.467784
-200.0,200,29.735578
-200.0,200,30.002861
-200.0,200,30.262993
-200.0,200,30.528111
-200.0,200,30.791998
-200.0,200,31.050474
-200.0,200,31.317753
-200.0,200,31.585428
-200.0,200,31.852486
-200.0,200,32.119328
-200.0,200,32.386186
-200.0,200,32.654354
-200.0,200,32.919729
-200.0,200,33.186323
-200.0,200,33.439535
-200.0,200,33.719595
-200.0,200,34.010713
-200.0,200,34.277297
-200.0,200,34.543392
-200.0,200,34.808943
-200.0,200,35.072578
-200.0,200,35.340139
-200.0,200,35.608761
-200.0,200,35.875468
-200.0,200,36.148624
-200.0,200,36.441546
-200.0,200,36.736081
-200.0,200,37.006193
-200.0,200,37.272215
-200.0,200,37.53813
-200.0,200,37.796504
-200.0,200,38.056317
-200.0,200,38.311417
-200.0,200,38.565623
-200.0,200,38.825527
-200.0,200,39.075156
-200.0,200,39.337286
-200.0,200,39.593947
-200.0,200,39.845419
-200.0,200,40.098494
-200.0,200,40.347332
