#{"t_start": 1539876353.3529258, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,2.181923
2.0,200,3.277008
2.0,229,4.549844
1.0,157,5.392857
1.0,152,6.178302
1.0,155,7.058144
1.0,155,7.837677
0.0,125,8.531919
1.0,151,9.306335
1.0,151,10.085355
1.0,151,10.83344
0.0,125,11.532534
0.0,127,12.144475
2.0,180,13.172789
6.0,370,15.336605
1.0,155,16.194784
1.0,155,17.087951
4.0,298,18.646736
0.0,129,19.364876
1.0,155,20.131897
11.0,271,21.581752
0.0,127,22.298125
1.0,157,23.081944
