#{"t_start": 1539922579.0029266, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,2.314687
0.0,129,3.018613
1.0,155,3.758208
0.0,129,4.431671
1.0,157,5.176582
1.0,155,6.026285
0.0,127,6.616327
3.0,232,7.817007
2.0,203,8.873873
0.0,125,9.444299
0.0,129,10.117177
3.0,234,11.327204
3.0,225,12.43776
0.0,123,13.10618
3.0,251,14.359774
0.0,127,15.030694
1.0,171,15.90999
4.0,282,17.331298
2.0,224,18.538406
2.0,190,19.470538
2.0,198,20.501561
1.0,155,21.261334
1.0,157,22.094412
5.0,352,23.877558
10.0,357,25.772052
0.0,127,26.377738
0.0,129,27.056404
0.0,129,27.732431
3.0,252,28.987837
0.0,129,29.669144
3.0,229,30.797271
0.0,123,31.462116
2.0,204,32.519562
2.0,186,33.432185
1.0,171,34.315193
3.0,254,35.661312
2.0,202,36.64191
2.0,222,37.829142
0.0,129,38.417642
1.0,171,39.294356
0.0,129,39.980447
0.0,127,40.648754
2.0,200,41.605945
1.0,175,42.490068
0.0,127,43.167142
0.0,125,43.754479
10.0,427,46.01345
0.0,129,46.689164
1.0,157,47.436483
3.0,270,48.842371
2.0,218,50.018983
0.0,129,50.607171
1.0,174,51.497025
2.0,181,52.492577
0.0,127,53.072689
0.0,129,53.748492
2.0,202,54.805288
1.0,155,55.548619
13.0,500,58.173872
0.0,129,58.845031
3.0,230,59.972118
1.0,155,60.80753
2.0,185,61.723974
2.0,202,62.774829
0.0,129,63.45305
0.0,127,64.037289
1.0,155,64.868282
0.0,127,65.450737
1.0,153,66.19294
2.0,225,67.38437
0.0,127,68.067517
3.0,216,69.143651
0.0,129,69.818586
2.0,226,70.941251
3.0,216,72.033741
1.0,157,72.869015
0.0,127,73.451088
1.0,177,74.431732
3.0,253,75.699944
0.0,125,76.298723
5.0,350,78.208601
5.0,350,80.037617
1.0,170,80.932571
0.0,129,81.623954
0.0,125,82.21089
9.0,404,84.459041
0.0,129,85.057791
1.0,176,85.964062
0.0,129,86.660576
2.0,203,87.695301
3.0,270,89.085745
0.0,125,89.666507
0.0,127,90.337911
0.0,127,90.909414
1.0,153,91.732682
2.0,183,92.62971
1.0,173,93.507162
1.0,157,94.26481
1.0,172,95.144486
3.0,230,96.354429
2.0,198,97.422346
4.0,301,99.013354
2.0,200,100.057371
0.0,129,100.650741
0.0,125,101.320052
1.0,177,102.211297
1.0,176,103.101202
0.0,125,103.679202
1.0,173,104.564482
0.0,129,105.242137
10.0,442,107.516641
0.0,127,108.184497
1.0,157,108.939894
0.0,129,109.61485
0.0,129,110.194626
1.0,169,111.062408
0.0,125,111.719545
2.0,185,112.630097
0.0,129,113.321194
0.0,129,113.902434
1.0,169,114.771284
1.0,155,115.507924
1.0,175,116.473499
3.0,232,117.611938
0.0,123,118.267923
1.0,153,119.008062
1.0,173,119.882678
3.0,270,121.282096
0.0,127,121.948299
0.0,127,122.526709
3.0,233,123.740011
1.0,176,124.620686
1.0,155,125.360818
0.0,129,126.031677
1.0,173,126.912492
1.0,173,127.790339
0.0,127,128.383199
0.0,129,129.07629
3.0,248,130.344919
1.0,175,131.2277
2.0,225,132.425096
3.0,234,133.645259
