#{"t_start": 1540174672.8297825, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.972497
-200.0,200,1.090077
-3.0,3,1.091325
-3.0,3,1.092763
-3.0,3,1.094651
-3.0,3,1.096233
-3.0,3,1.097371
-3.0,3,1.098619
-3.0,3,1.099743
-3.0,3,1.100913
-3.0,3,1.10209
-3.0,3,1.103623
-3.0,3,1.104736
-3.0,3,1.105986
-3.0,3,1.107356
-3.0,3,1.108475
-3.0,3,1.10994
-3.0,3,1.11117
-3.0,3,1.112547
-3.0,3,1.113862
-3.0,3,1.115116
-3.0,3,1.116291
-3.0,3,1.117459
-3.0,3,1.118659
-3.0,3,1.120144
-3.0,3,1.12129
-3.0,3,1.12244
-3.0,3,1.123681
-3.0,3,1.124846
-3.0,3,1.126069
-3.0,3,1.127409
-3.0,3,1.128781
-3.0,3,1.13002
-3.0,3,1.131177
-3.0,3,1.132252
-3.0,3,1.133337
-3.0,3,1.134642
-3.0,3,1.136025
-3.0,3,1.137207
-3.0,3,1.157313
-3.0,3,1.158626
-3.0,3,1.159803
-3.0,3,1.161102
-3.0,3,1.162363
-3.0,3,1.163785
-3.0,3,1.164905
-3.0,3,1.16614
-3.0,3,1.167615
-3.0,3,1.168939
-3.0,3,1.170165
-3.0,3,1.171458
-3.0,3,1.172634
-3.0,3,1.173959
-3.0,3,1.175128
-3.0,3,1.176367
-3.0,3,1.177623
-3.0,3,1.178947
-3.0,3,1.180393
-3.0,3,1.181689
-3.0,3,1.183167
-3.0,3,1.184421
-3.0,3,1.185624
-3.0,3,1.186733
-3.0,3,1.188064
-3.0,3,1.189207
-3.0,3,1.190328
-3.0,3,1.191545
-3.0,3,1.192833
-3.0,3,1.194015
-3.0,3,1.195143
-3.0,3,1.196321
-3.0,3,1.197549
-3.0,3,1.198719
-3.0,3,1.199901
-3.0,3,1.201028
-3.0,3,1.202111
-3.0,3,1.203299
-3.0,3,1.204571
-3.0,3,1.206085
-3.0,3,1.207586
-3.0,3,1.208964
-3.0,3,1.210158
-3.0,3,1.233338
-3.0,3,1.234628
-3.0,3,1.235839
-3.0,3,1.237006
-3.0,3,1.238326
-3.0,3,1.239615
-3.0,3,1.240757
-3.0,3,1.241818
-3.0,3,1.243183
-3.0,3,1.244376
-3.0,3,1.245575
-3.0,3,1.24689
-3.0,3,1.248086
-3.0,3,1.249135
-3.0,3,1.250332
-3.0,3,1.251515
-3.0,3,1.253247
-3.0,3,1.255213
-3.0,3,1.256737
-3.0,3,1.257967
-3.0,3,1.259484
-3.0,3,1.260711
-3.0,3,1.261934
-3.0,3,1.263217
-3.0,3,1.264542
-3.0,3,1.265997
-3.0,3,1.267202
-3.0,3,1.268429
-3.0,3,1.269829
-3.0,3,1.271095
-3.0,3,1.272754
-3.0,3,1.274038
-3.0,3,1.275333
-3.0,3,1.276499
-3.0,3,1.277867
-3.0,3,1.279648
-3.0,3,1.281146
-3.0,3,1.282484
-3.0,3,1.283739
-3.0,3,1.284843
-3.0,3,1.285998
-3.0,3,1.287326
-3.0,3,1.308469
-3.0,3,1.309674
-3.0,3,1.311025
-3.0,3,1.312324
-3.0,3,1.313447
-3.0,3,1.315008
-3.0,3,1.316652
-3.0,3,1.318268
-3.0,3,1.319672
-3.0,3,1.321135
-3.0,3,1.32229
-3.0,3,1.32344
-3.0,3,1.324769
-3.0,3,1.326193
-3.0,3,1.327583
-3.0,3,1.328775
-3.0,3,1.329992
-3.0,3,1.331271
-3.0,3,1.332554
-3.0,3,1.333658
-3.0,3,1.334873
