#{"t_start": 1540224023.280148, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.80072
-200.0,200,0.919491
-3.0,3,0.920942
-3.0,3,0.9224
-3.0,3,0.9239
-3.0,3,0.925464
-3.0,3,0.92704
-3.0,3,0.928539
-3.0,3,0.930015
-3.0,3,0.93166
-3.0,3,0.933299
-3.0,3,0.93494
-3.0,3,0.936395
-3.0,3,0.937901
-3.0,3,0.939554
-3.0,3,0.941031
-3.0,3,0.942734
-3.0,3,0.944241
-3.0,3,0.94571
-3.0,3,0.947239
-3.0,3,0.948741
-3.0,3,0.95023
-3.0,3,0.951881
-3.0,3,0.95345
-3.0,3,0.955106
-3.0,3,0.956692
-3.0,3,0.958386
-3.0,3,0.960191
-3.0,3,0.962068
-3.0,3,0.963707
-3.0,3,0.965425
-3.0,3,0.967216
-3.0,3,0.968946
-3.0,3,0.97075
-3.0,3,0.972576
-3.0,3,0.974248
-3.0,3,0.975992
-3.0,3,0.977655
-3.0,3,0.979637
-3.0,3,1.008549
-3.0,3,1.010344
-3.0,3,1.012091
-3.0,3,1.013701
-3.0,3,1.015728
-3.0,3,1.017531
-3.0,3,1.019631
-3.0,3,1.021425
-3.0,3,1.023206
-3.0,3,1.024917
-3.0,3,1.026831
-3.0,3,1.028697
-3.0,3,1.03055
-3.0,3,1.032311
-3.0,3,1.034244
-3.0,3,1.036057
-3.0,3,1.037814
-3.0,3,1.039451
-3.0,3,1.041299
-3.0,3,1.043095
-3.0,3,1.044828
-3.0,3,1.04678
-3.0,3,1.048475
-3.0,3,1.050221
-3.0,3,1.051927
-3.0,3,1.053886
-3.0,3,1.055775
-3.0,3,1.057581
-3.0,3,1.059472
-3.0,3,1.061205
-3.0,3,1.063035
-3.0,3,1.064922
-3.0,3,1.066821
-3.0,3,1.068492
-3.0,3,1.070488
-3.0,3,1.072292
-3.0,3,1.074101
-3.0,3,1.075893
-3.0,3,1.077639
-3.0,3,1.079392
-3.0,3,1.081392
-3.0,3,1.083213
-3.0,3,1.084948
-3.0,3,1.114105
-3.0,3,1.115931
-3.0,3,1.117611
-3.0,3,1.119447
-3.0,3,1.121099
-3.0,3,1.122944
-3.0,3,1.124792
-3.0,3,1.126844
-3.0,3,1.128722
-3.0,3,1.130625
-3.0,3,1.13233
-3.0,3,1.133999
-3.0,3,1.135703
-3.0,3,1.137458
-3.0,3,1.139363
-3.0,3,1.141107
-3.0,3,1.143007
-3.0,3,1.144744
-3.0,3,1.146565
-3.0,3,1.148347
-3.0,3,1.150144
-3.0,3,1.151927
-3.0,3,1.153806
-3.0,3,1.15579
-3.0,3,1.157655
-3.0,3,1.159506
-3.0,3,1.161347
-3.0,3,1.16322
-3.0,3,1.165052
-3.0,3,1.166885
-3.0,3,1.168653
-3.0,3,1.170338
-3.0,3,1.172081
-3.0,3,1.173772
-3.0,3,1.17567
-3.0,3,1.177413
-3.0,3,1.179064
-3.0,3,1.180738
-3.0,3,1.182581
-3.0,3,1.184403
-3.0,3,1.186278
-3.0,3,1.1881
-3.0,3,1.21626
-3.0,3,1.2182
-3.0,3,1.219965
-3.0,3,1.221829
-3.0,3,1.223701
-3.0,3,1.22558
-3.0,3,1.227511
-3.0,3,1.229315
-3.0,3,1.231052
-3.0,3,1.232833
-3.0,3,1.234454
-3.0,3,1.236261
-3.0,3,1.238107
-3.0,3,1.239889
-3.0,3,1.241663
-3.0,3,1.243498
-3.0,3,1.245291
-3.0,3,1.247069
-3.0,3,1.249015
-3.0,3,1.250832
-3.0,3,1.252661
-3.0,3,1.25453
-3.0,3,1.256261
-3.0,3,1.258014
-3.0,3,1.259949
-3.0,3,1.261713
-3.0,3,1.263433
-3.0,3,1.265153
-3.0,3,1.267088
-3.0,3,1.268936
-3.0,3,1.270728
-3.0,3,1.272537
-3.0,3,1.274206
-3.0,3,1.275935
-3.0,3,1.277583
-3.0,3,1.279294
-3.0,3,1.28105
-3.0,3,1.282889
-3.0,3,1.284632
-3.0,3,1.286395
-3.0,3,1.288249
-3.0,3,1.290109
-3.0,3,1.291965
-3.0,3,1.320821
-3.0,3,1.322584
-3.0,3,1.32427
-3.0,3,1.325853
-3.0,3,1.32763
-3.0,3,1.329443
-3.0,3,1.331256
-3.0,3,1.333043
-3.0,3,1.334967
-3.0,3,1.336591
-3.0,3,1.338252
-3.0,3,1.339893
-3.0,3,1.34186
-3.0,3,1.343666
-3.0,3,1.345305
-3.0,3,1.347062
-3.0,3,1.348766
-3.0,3,1.350464
-3.0,3,1.352327
-3.0,3,1.354168
-3.0,3,1.355958
-3.0,3,1.357713
-3.0,3,1.359521
-3.0,3,1.361324
-3.0,3,1.363154
-3.0,3,1.36498
-3.0,3,1.366768
-3.0,3,1.368463
-3.0,3,1.37029
-3.0,3,1.372163
-3.0,3,1.374293
-3.0,3,1.376414
-3.0,3,1.378731
-3.0,3,1.381269
-3.0,3,1.383905
-3.0,3,1.386209
-3.0,3,1.388735
-3.0,3,1.391285
-3.0,3,1.393662
-3.0,3,1.396077
-3.0,3,1.398422
-3.0,3,1.400798
-3.0,3,1.403208
-3.0,3,1.431112
-3.0,3,1.432605
-3.0,3,1.434135
-3.0,3,1.435792
-3.0,3,1.437397
-3.0,3,1.438961
-3.0,3,1.440706
-3.0,3,1.442276
-3.0,3,1.44375
-3.0,3,1.445253
-3.0,3,1.446925
-3.0,3,1.448558
-3.0,3,1.450084
-3.0,3,1.451908
-3.0,3,1.45354
-3.0,3,1.455204
-3.0,3,1.456782
-3.0,3,1.458386
-3.0,3,1.460082
-3.0,3,1.461596
-3.0,3,1.463244
-3.0,3,1.464891
-3.0,3,1.466594
-3.0,3,1.468185
-3.0,3,1.469845
-3.0,3,1.471551
-3.0,3,1.473122
-3.0,3,1.474753
-3.0,3,1.476573
-3.0,3,1.478265
-3.0,3,1.479908
-3.0,3,1.481446
-3.0,3,1.482995
-3.0,3,1.484659
-3.0,3,1.486227
-3.0,3,1.487945
-3.0,3,1.489524
-3.0,3,1.491269
-3.0,3,1.492839
-3.0,3,1.494546
-3.0,3,1.496251
-3.0,3,1.497967
-3.0,3,1.524702
-3.0,3,1.526258
-3.0,3,1.527843
-3.0,3,1.529541
-3.0,3,1.531232
-3.0,3,1.532957
-3.0,3,1.534537
-3.0,3,1.53625
-3.0,3,1.537905
-3.0,3,1.53956
-3.0,3,1.541173
-3.0,3,1.542705
-3.0,3,1.54424
-3.0,3,1.546017
-3.0,3,1.547858
-3.0,3,1.549647
-3.0,3,1.551686
-3.0,3,1.553786
-3.0,3,1.556106
-3.0,3,1.558429
-3.0,3,1.560608
-3.0,3,1.562604
-3.0,3,1.564739
-3.0,3,1.567037
-3.0,3,1.569275
-3.0,3,1.571391
-3.0,3,1.573535
-3.0,3,1.575809
-3.0,3,1.578022
-3.0,3,1.579998
-3.0,3,1.58225
-3.0,3,1.584422
-3.0,3,1.586861
-3.0,3,1.589103
-3.0,3,1.59136
-3.0,3,1.593566
-3.0,3,1.595814
-3.0,3,1.598368
-3.0,3,1.6008
-3.0,3,1.603299
-3.0,3,1.605755
-3.0,3,1.608335
-3.0,3,1.611058
-3.0,3,1.65388
-3.0,3,1.656568
-3.0,3,1.65924
-3.0,3,1.661698
-3.0,3,1.664296
-3.0,3,1.667083
-3.0,3,1.66992
-3.0,3,1.672416
-3.0,3,1.675001
-3.0,3,1.677556
-3.0,3,1.680233
-3.0,3,1.682813
-3.0,3,1.685407
-3.0,3,1.687928
-3.0,3,1.690619
-3.0,3,1.693318
-3.0,3,1.695987
-3.0,3,1.698857
-3.0,3,1.701574
-3.0,3,1.70451
-3.0,3,1.707248
-3.0,3,1.709979
-3.0,3,1.712643
-3.0,3,1.715136
-3.0,3,1.718004
-3.0,3,1.720625
-3.0,3,1.723276
-3.0,3,1.726385
-3.0,3,1.729334
-3.0,3,1.732048
-3.0,3,1.734631
-3.0,3,1.737196
-3.0,3,1.740015
-3.0,3,1.742798
-3.0,3,1.745456
-3.0,3,1.748115
-3.0,3,1.750521
-3.0,3,1.753001
-3.0,3,1.755365
-3.0,3,1.757932
-3.0,3,1.760689
-3.0,3,1.763486
-3.0,3,1.766173
-3.0,3,1.809103
-3.0,3,1.811756
-3.0,3,1.814323
-3.0,3,1.817025
-3.0,3,1.81973
-3.0,3,1.822373
-3.0,3,1.824942
-3.0,3,1.827611
-3.0,3,1.830212
-3.0,3,1.832916
-3.0,3,1.835536
-3.0,3,1.838221
-3.0,3,1.840873
-3.0,3,1.843303
-3.0,3,1.845818
-3.0,3,1.84844
-3.0,3,1.851447
-3.0,3,1.854177
-3.0,3,1.856925
-3.0,3,1.859616
-3.0,3,1.862338
-3.0,3,1.864967
-3.0,3,1.867879
-3.0,3,1.870945
-3.0,3,1.873506
-3.0,3,1.876099
-3.0,3,1.87865
-3.0,3,1.881328
-3.0,3,1.884024
-3.0,3,1.886609
-3.0,3,1.889395
-3.0,3,1.892109
-3.0,3,1.894581
-3.0,3,1.897352
-3.0,3,1.90014
-3.0,3,1.902992
-3.0,3,1.905581
-3.0,3,1.908159
-3.0,3,1.910701
-3.0,3,1.913326
-3.0,3,1.916025
-3.0,3,1.918613
-3.0,3,1.961645
-3.0,3,1.964306
-3.0,3,1.967214
-3.0,3,1.969844
-3.0,3,1.972419
-3.0,3,1.975337
-3.0,3,1.9783
-3.0,3,1.98087
-3.0,3,1.98375
-3.0,3,1.986317
-3.0,3,1.989207
-3.0,3,1.991791
-3.0,3,1.994486
-3.0,3,1.997056
-3.0,3,1.999759
-3.0,3,2.002497
-3.0,3,2.005348
-3.0,3,2.008052
-3.0,3,2.010749
-3.0,3,2.013201
-3.0,3,2.01595
-3.0,3,2.01864
-3.0,3,2.021032
-3.0,3,2.023654
-3.0,3,2.026601
-3.0,3,2.029377
-3.0,3,2.03207
-3.0,3,2.034891
-3.0,3,2.037505
-3.0,3,2.040191
-3.0,3,2.042789
-3.0,3,2.045558
-3.0,3,2.04853
-3.0,3,2.051193
-3.0,3,2.053774
-3.0,3,2.056355
-3.0,3,2.058949
-3.0,3,2.061723
-3.0,3,2.06435
-3.0,3,2.067224
-3.0,3,2.070463
-3.0,3,2.07372
-3.0,3,2.077194
-3.0,3,2.131507
-3.0,3,2.134778
-3.0,3,2.138068
-3.0,3,2.141752
-3.0,3,2.145228
-3.0,3,2.148743
-3.0,3,2.152116
-3.0,3,2.155798
-3.0,3,2.15945
-3.0,3,2.162776
-3.0,3,2.166019
-3.0,3,2.169531
-3.0,3,2.172711
-3.0,3,2.175875
-3.0,3,2.179296
-3.0,3,2.182663
-3.0,3,2.186137
-3.0,3,2.189501
-3.0,3,2.19295
-3.0,3,2.196307
-3.0,3,2.199777
-3.0,3,2.202936
-3.0,3,2.20616
-3.0,3,2.209485
-3.0,3,2.212748
-3.0,3,2.216158
-3.0,3,2.219617
-3.0,3,2.222797
-3.0,3,2.225915
-3.0,3,2.229071
-3.0,3,2.232259
-3.0,3,2.235536
-3.0,3,2.238631
-3.0,3,2.242049
-3.0,3,2.245311
-3.0,3,2.2486
-3.0,3,2.251999
-3.0,3,2.255301
-3.0,3,2.258893
-3.0,3,2.262255
-3.0,3,2.26564
-3.0,3,2.268266
-3.0,3,2.270832
-3.0,3,2.295612
-3.0,3,2.297056
-3.0,3,2.298526
-3.0,3,2.299992
-3.0,3,2.30131
-3.0,3,2.30267
-3.0,3,2.304157
-3.0,3,2.30558
-3.0,3,2.306979
-3.0,3,2.308372
-3.0,3,2.309779
-3.0,3,2.311179
-3.0,3,2.312605
-3.0,3,2.313955
-3.0,3,2.315289
-3.0,3,2.316705
-3.0,3,2.318076
-3.0,3,2.319446
-3.0,3,2.32074
-3.0,3,2.322074
-3.0,3,2.323482
-3.0,3,2.324859
-3.0,3,2.326345
-3.0,3,2.327701
-3.0,3,2.328991
-3.0,3,2.330322
-3.0,3,2.331733
-3.0,3,2.332988
-3.0,3,2.33441
-3.0,3,2.335823
-3.0,3,2.337181
-3.0,3,2.338619
-3.0,3,2.339925
-3.0,3,2.341254
-3.0,3,2.342693
-3.0,3,2.344061
-3.0,3,2.345479
-3.0,3,2.3471
-3.0,3,2.348547
-3.0,3,2.350091
-3.0,3,2.351558
-3.0,3,2.352979
-3.0,3,2.378295
-3.0,3,2.380038
-3.0,3,2.381582
-3.0,3,2.383164
-3.0,3,2.38464
-3.0,3,2.386108
-3.0,3,2.38797
-3.0,3,2.389714
-3.0,3,2.391329
-3.0,3,2.392923
-3.0,3,2.39453
-3.0,3,2.395957
-3.0,3,2.397464
-3.0,3,2.399013
-3.0,3,2.400559
-3.0,3,2.402062
-3.0,3,2.403789
-3.0,3,2.405475
-3.0,3,2.407177
-3.0,3,2.408894
-3.0,3,2.410519
-3.0,3,2.41214
-3.0,3,2.413768
-3.0,3,2.415437
-3.0,3,2.417183
-3.0,3,2.418694
-3.0,3,2.42022
-3.0,3,2.421813
-3.0,3,2.423374
-3.0,3,2.424821
-3.0,3,2.426434
-3.0,3,2.428109
-3.0,3,2.429599
-3.0,3,2.431218
-3.0,3,2.432822
-3.0,3,2.434296
-3.0,3,2.435842
-3.0,3,2.437423
-3.0,3,2.439105
-3.0,3,2.440723
-3.0,3,2.442299
-3.0,3,2.443836
-3.0,3,2.445483
-3.0,3,2.470329
-3.0,3,2.471858
