#{"t_start": 1540179680.668877, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.442481
-200.0,200,0.53845
-200.0,200,0.622666
-200.0,200,0.821554
-200.0,200,1.047787
-200.0,200,1.393469
-200.0,200,1.648633
-200.0,200,1.90158
-200.0,200,2.207104
-200.0,200,2.506603
-200.0,200,2.781715
-200.0,200,3.056049
-200.0,200,3.330485
-200.0,200,3.604514
-200.0,200,3.878064
-200.0,200,4.149748
-200.0,200,4.423091
-200.0,200,4.696802
-200.0,200,4.97248
-200.0,200,5.246157
-200.0,200,5.522306
-200.0,200,5.795897
-200.0,200,6.05248
-200.0,200,6.312835
-200.0,200,6.583391
-200.0,200,6.851875
-200.0,200,7.115824
-200.0,200,7.389493
-200.0,200,7.665664
-200.0,200,7.925535
-200.0,200,8.19865
-200.0,200,8.47689
-200.0,200,8.743483
-200.0,200,9.01862
-200.0,200,9.281292
-200.0,200,9.548473
-200.0,200,9.816523
-200.0,200,10.079328
-200.0,200,10.32612
-200.0,200,10.582102
-200.0,200,10.855049
-200.0,200,11.11849
-200.0,200,11.385494
-200.0,200,11.649555
-200.0,200,11.918188
-200.0,200,12.19368
-200.0,200,12.447052
-200.0,200,12.710809
-200.0,200,12.976247
-200.0,200,13.241269
-200.0,200,13.511081
-200.0,200,13.77522
-200.0,200,14.042203
-200.0,200,14.314716
-200.0,200,14.582984
-200.0,200,14.855206
-200.0,200,15.1267
-200.0,200,15.413895
-200.0,200,15.702668
-200.0,200,15.959282
-200.0,200,16.229916
-200.0,200,16.492744
-200.0,200,16.754792
-200.0,200,17.026726
-200.0,200,17.294683
-200.0,200,17.557894
-200.0,200,17.820881
-200.0,200,18.085647
-200.0,200,18.350945
-200.0,200,18.610079
-200.0,200,18.882859
-200.0,200,19.156332
-200.0,200,19.422213
-200.0,200,19.688738
-200.0,200,19.951596
-200.0,200,20.219161
-200.0,200,20.487121
-200.0,200,20.740796
-200.0,200,20.996655
-200.0,200,21.262377
-200.0,200,21.52735
-200.0,200,21.792804
-200.0,200,22.06161
-200.0,200,22.327209
-200.0,200,22.593755
-200.0,200,22.854711
-200.0,200,23.136153
-200.0,200,23.416303
-200.0,200,23.688545
-200.0,200,23.94139
-200.0,200,24.21424
-200.0,200,24.47404
-200.0,200,24.770892
-200.0,200,25.060399
-200.0,200,25.324927
-200.0,200,25.611192
-200.0,200,25.889399
-200.0,200,26.180673
-200.0,200,26.486176
-200.0,200,26.777943
-200.0,200,27.07193
-200.0,200,27.396928
-200.0,200,27.738057
-200.0,200,28.03556
-200.0,200,28.343911
-200.0,200,28.611794
-200.0,200,28.873837
-200.0,200,29.139246
-200.0,200,29.42096
-200.0,200,29.690158
-200.0,200,29.954324
-200.0,200,30.223063
-200.0,200,30.493164
-200.0,200,30.759108
-200.0,200,31.023128
-200.0,200,31.291784
-200.0,200,31.56139
-200.0,200,31.831944
-200.0,200,32.097623
-200.0,200,32.366786
-200.0,200,32.635931
-200.0,200,32.90534
-200.0,200,33.172891
-200.0,200,33.440302
-200.0,200,33.705047
-200.0,200,33.970787
-200.0,200,34.235261
-200.0,200,34.502063
-200.0,200,34.766938
-200.0,200,35.036766
-200.0,200,35.298779
-200.0,200,35.564033
-200.0,200,35.8312
-200.0,200,36.098535
-200.0,200,36.373379
-200.0,200,36.645673
-200.0,200,36.896257
-200.0,200,37.165748
-200.0,200,37.43716
-200.0,200,37.70985
-200.0,200,37.974259
-200.0,200,38.241773
-200.0,200,38.505976
-200.0,200,38.773244
-200.0,200,39.036584
-200.0,200,39.300007
-200.0,200,39.567918
-200.0,200,39.832355
-200.0,200,40.096984
-200.0,200,40.361302
-200.0,200,40.627669
-200.0,200,40.894603
-200.0,200,41.161555
-200.0,200,41.423503
-200.0,200,41.686706
-200.0,200,41.954006
-200.0,200,42.219263
-200.0,200,42.484383
-200.0,200,42.749198
-200.0,200,43.014365
-200.0,200,43.281729
-200.0,200,43.543311
-200.0,200,43.809977
-200.0,200,44.077052
-200.0,200,44.341717
-200.0,200,44.607507
-200.0,200,44.87488
-200.0,200,45.140067
-200.0,200,45.404631
-200.0,200,45.667751
-200.0,200,45.935035
-200.0,200,46.20033
-200.0,200,46.466284
-200.0,200,46.733477
-200.0,200,47.000164
-200.0,200,47.263789
-200.0,200,47.534623
-200.0,200,47.790897
-200.0,200,48.056922
-200.0,200,48.32299
-200.0,200,48.588801
-200.0,200,48.855799
-200.0,200,49.121592
-200.0,200,49.388653
-200.0,200,49.654541
-200.0,200,49.919017
-200.0,200,50.182251
-200.0,200,50.448979
-200.0,200,50.713616
-200.0,200,50.977265
-200.0,200,51.244057
-200.0,200,51.508766
-200.0,200,51.775825
-200.0,200,52.038241
-200.0,200,52.3037
-200.0,200,52.568526
-200.0,200,52.832428
-200.0,200,53.096993
-200.0,200,53.360426
-200.0,200,53.626772
-200.0,200,53.89094
-200.0,200,54.15713
-200.0,200,54.421947
-200.0,200,54.687581
-200.0,200,54.95354
-200.0,200,55.219272
-200.0,200,55.484909
-200.0,200,55.747932
-200.0,200,56.004832
-200.0,200,56.271897
-200.0,200,56.537145
-200.0,200,56.802198
-200.0,200,57.068402
-200.0,200,57.335958
-200.0,200,57.602924
-200.0,200,57.869947
-200.0,200,58.134324
-200.0,200,58.404398
-200.0,200,58.67187
-200.0,200,58.938631
-200.0,200,59.207527
-200.0,200,59.471194
-200.0,200,59.736025
-200.0,200,59.999099
-200.0,200,60.24961
-200.0,200,60.508829
-200.0,200,60.773178
-200.0,200,61.044378
-200.0,200,61.308357
-200.0,200,61.573566
-200.0,200,61.839404
-200.0,200,62.100557
-200.0,200,62.364625
-200.0,200,62.629217
-200.0,200,62.895921
-200.0,200,63.159472
-200.0,200,63.425213
-200.0,200,63.68705
-200.0,200,63.953688
-200.0,200,64.21318
-200.0,200,64.46915
-200.0,200,64.737298
-200.0,200,65.004699
-200.0,200,65.270395
-200.0,200,65.535711
-200.0,200,65.807596
-200.0,200,66.072301
-200.0,200,66.330405
-200.0,200,66.603819
-200.0,200,66.867732
-200.0,200,67.134166
-200.0,200,67.398571
-200.0,200,67.66365
-200.0,200,67.929739
-200.0,200,68.196448
-200.0,200,68.460959
-200.0,200,68.726567
-200.0,200,68.992667
-200.0,200,69.259275
-200.0,200,69.527703
-200.0,200,69.791917
-200.0,200,70.057393
-200.0,200,70.322701
-200.0,200,70.571581
-200.0,200,70.82194
-200.0,200,71.083482
-200.0,200,71.349943
-200.0,200,71.614625
-200.0,200,71.879938
-200.0,200,72.14341
-200.0,200,72.408834
-200.0,200,72.674786
-200.0,200,72.941219
-200.0,200,73.208233
-200.0,200,73.473194
-200.0,200,73.737933
-200.0,200,74.001933
-200.0,200,74.266384
-200.0,200,74.533993
-200.0,200,74.797654
-200.0,200,75.06327
-200.0,200,75.331296
-200.0,200,75.597473
-200.0,200,75.860772
-200.0,200,76.125402
-200.0,200,76.390006
-200.0,200,76.648596
-200.0,200,76.907384
-200.0,200,77.179136
-200.0,200,77.448131
-200.0,200,77.722423
-200.0,200,77.994555
-200.0,200,78.26527
-200.0,200,78.533737
-200.0,200,78.810942
-200.0,200,79.080534
-200.0,200,79.345464
-200.0,200,79.615841
-200.0,200,79.879339
-200.0,200,80.144953
-200.0,200,80.416619
-200.0,200,80.693808
-200.0,200,80.960383
-200.0,200,81.231796
-200.0,200,81.500704
-200.0,200,81.768912
-200.0,200,82.035501
-200.0,200,82.304167
-200.0,200,82.57212
-200.0,200,82.841436
-200.0,200,83.100961
-200.0,200,83.364177
-200.0,200,83.630314
-200.0,200,83.903502
-200.0,200,84.171624
-200.0,200,84.438753
-200.0,200,84.703351
-200.0,200,84.965427
-200.0,200,85.232144
-200.0,200,85.50041
-200.0,200,85.76626
-200.0,200,86.03185
-200.0,200,86.297189
-200.0,200,86.567381
-200.0,200,86.837909
-200.0,200,87.105812
-200.0,200,87.370209
-200.0,200,87.647782
-200.0,200,87.920652
-200.0,200,88.187118
-200.0,200,88.455631
-200.0,200,88.723354
-200.0,200,89.000133
-200.0,200,89.255196
-200.0,200,89.523195
-200.0,200,89.794241
-200.0,200,90.061944
-200.0,200,90.335803
-200.0,200,90.606928
-200.0,200,90.874778
