#{"t_start": 1540230814.6308892, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.465997
-200.0,200,0.563657
-200.0,200,0.652755
-200.0,200,0.741791
-200.0,200,0.83241
-200.0,200,1.164029
-200.0,200,1.423245
-200.0,200,1.680883
-200.0,200,1.941392
-200.0,200,2.202336
-200.0,200,2.468899
-200.0,200,2.733161
-200.0,200,2.992932
-200.0,200,3.253117
-200.0,200,3.514643
-200.0,200,3.779732
-200.0,200,4.042783
-200.0,200,4.305142
-200.0,200,4.563705
-200.0,200,4.831372
-200.0,200,5.088121
-200.0,200,5.343396
-200.0,200,5.597587
-200.0,200,5.871926
-200.0,200,6.126486
-200.0,200,6.395595
-200.0,200,6.655409
-200.0,200,6.913895
-200.0,200,7.172525
-200.0,200,7.431748
-200.0,200,7.695872
-200.0,200,7.962161
-200.0,200,8.232107
-200.0,200,8.495151
-200.0,200,8.766186
-200.0,200,9.026921
-200.0,200,9.28511
-200.0,200,9.550022
-200.0,200,9.809884
-200.0,200,10.071496
-200.0,200,10.331219
-200.0,200,10.593756
-200.0,200,10.854629
-200.0,200,11.122716
-200.0,200,11.391221
-200.0,200,11.666294
-200.0,200,11.939866
-200.0,200,12.213609
-200.0,200,12.476866
-200.0,200,12.739907
-200.0,200,13.005998
-200.0,200,13.26164
-200.0,200,13.521165
-200.0,200,13.782565
-200.0,200,14.042061
-200.0,200,14.301002
-200.0,200,14.560718
-200.0,200,14.818527
-200.0,200,15.07764
-200.0,200,15.3383
-200.0,200,15.597282
-200.0,200,15.854359
-200.0,200,16.114963
-200.0,200,16.374488
-200.0,200,16.634731
-200.0,200,16.896858
-200.0,200,17.157796
-200.0,200,17.414701
-200.0,200,17.675251
-200.0,200,17.935276
-200.0,200,18.1937
-200.0,200,18.455074
-200.0,200,18.720133
-200.0,200,18.980596
-200.0,200,19.24148
-200.0,200,19.501991
-200.0,200,19.765255
-200.0,200,20.028
-200.0,200,20.286925
-200.0,200,20.544432
-200.0,200,20.804992
-200.0,200,21.069073
-200.0,200,21.331259
-200.0,200,21.59369
-200.0,200,21.856464
-200.0,200,22.117959
-200.0,200,22.380304
-200.0,200,22.640348
-200.0,200,22.903394
-200.0,200,23.166594
-200.0,200,23.427925
-200.0,200,23.707917
-200.0,200,23.987767
-200.0,200,24.252909
-200.0,200,24.5154
-200.0,200,24.779428
-200.0,200,25.040745
-200.0,200,25.301283
-200.0,200,25.565694
-200.0,200,25.827586
-200.0,200,26.095273
-200.0,200,26.365634
-200.0,200,26.64378
-200.0,200,26.910602
-200.0,200,27.177184
-200.0,200,27.441017
-200.0,200,27.710168
-200.0,200,27.983972
-200.0,200,28.250831
-183.0,183,28.491648
-200.0,200,28.761847
-200.0,200,29.031481
-200.0,200,29.299129
-200.0,200,29.563771
-200.0,200,29.832481
-200.0,200,30.098632
-200.0,200,30.363654
-200.0,200,30.630528
-200.0,200,30.892495
-200.0,200,31.156266
-200.0,200,31.420124
-200.0,200,31.684065
-200.0,200,31.944408
-200.0,200,32.213742
-200.0,200,32.495413
