#{"t_start": 1540229117.0806172, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.478505
-200.0,200,0.577711
-3.0,3,0.579129
-3.0,3,0.580668
-3.0,3,0.582202
-3.0,3,0.583496
-2.0,2,0.584405
-3.0,3,0.585785
-3.0,3,0.587157
-2.0,2,0.588077
-2.0,2,0.58902
-3.0,3,0.590704
-3.0,3,0.592076
-2.0,2,0.592955
-3.0,3,0.594267
-3.0,3,0.595551
-3.0,3,0.596905
-2.0,2,0.597868
-3.0,3,0.599205
-2.0,2,0.60009
-3.0,3,0.601435
-2.0,2,0.602355
-3.0,3,0.603658
-3.0,3,0.604866
-2.0,2,0.605788
-3.0,3,0.60709
-2.0,2,0.60799
-3.0,3,0.609336
-3.0,3,0.610692
-2.0,2,0.611656
-2.0,2,0.612619
-3.0,3,0.614052
-3.0,3,0.61546
-3.0,3,0.61686
-2.0,2,0.6179
-2.0,2,0.618834
-2.0,2,0.619788
-2.0,2,0.620624
-3.0,3,0.621909
-2.0,2,0.622898
-2.0,2,0.62855
-3.0,3,0.630043
-2.0,2,0.630897
-2.0,2,0.631833
-3.0,3,0.633299
-3.0,3,0.634789
-3.0,3,0.636271
-3.0,3,0.637697
-2.0,2,0.638654
-2.0,2,0.639653
-3.0,3,0.641033
-2.0,2,0.642023
-2.0,2,0.642935
-2.0,2,0.643893
-3.0,3,0.645336
-3.0,3,0.646838
-2.0,2,0.64777
-3.0,3,0.649089
-3.0,3,0.65055
-2.0,2,0.651526
-3.0,3,0.652945
-2.0,2,0.654013
-2.0,2,0.655021
-3.0,3,0.656353
-3.0,3,0.657682
-3.0,3,0.659116
-2.0,2,0.660031
-3.0,3,0.661431
-3.0,3,0.662897
-3.0,3,0.664343
-2.0,2,0.665251
-2.0,2,0.666165
-3.0,3,0.667356
-2.0,2,0.668187
-2.0,2,0.669008
-3.0,3,0.67033
-3.0,3,0.67164
-3.0,3,0.673099
-2.0,2,0.67413
-3.0,3,0.680052
-3.0,3,0.681612
-2.0,2,0.682621
-3.0,3,0.683995
-3.0,3,0.685358
-2.0,2,0.6863
-3.0,3,0.687577
-3.0,3,0.688977
-3.0,3,0.690443
-3.0,3,0.691759
-2.0,2,0.692579
-2.0,2,0.693511
-2.0,2,0.694435
-2.0,2,0.695376
-3.0,3,0.696721
-3.0,3,0.698169
-3.0,3,0.699595
-2.0,2,0.700596
-2.0,2,0.701557
-3.0,3,0.702894
-2.0,2,0.703866
-2.0,2,0.704856
-3.0,3,0.706287
-3.0,3,0.707643
-3.0,3,0.708926
-2.0,2,0.709923
-2.0,2,0.710964
-2.0,2,0.712518
-2.0,2,0.713785
-2.0,2,0.714922
-3.0,3,0.716403
-3.0,3,0.717865
-2.0,2,0.718889
-2.0,2,0.719896
-2.0,2,0.720833
-3.0,3,0.722217
-2.0,2,0.723073
-2.0,2,0.72389
-3.0,3,0.725094
-3.0,3,0.726526
-3.0,3,0.732589
-3.0,3,0.733912
-3.0,3,0.735246
-2.0,2,0.736174
-2.0,2,0.737072
-2.0,2,0.738119
-3.0,3,0.739547
-3.0,3,0.740944
-3.0,3,0.742319
-3.0,3,0.743667
-3.0,3,0.744931
-3.0,3,0.746497
-2.0,2,0.747579
-3.0,3,0.749022
-2.0,2,0.750056
-2.0,2,0.751058
-3.0,3,0.752471
-3.0,3,0.753841
-2.0,2,0.754847
-3.0,3,0.756148
-3.0,3,0.757626
-2.0,2,0.758576
-2.0,2,0.759532
-3.0,3,0.760862
-2.0,2,0.761868
-3.0,3,0.763262
-3.0,3,0.764752
-3.0,3,0.766084
-3.0,3,0.767503
-3.0,3,0.768888
-3.0,3,0.770293
-3.0,3,0.77167
-2.0,2,0.772544
-2.0,2,0.773493
-2.0,2,0.774412
-3.0,3,0.77558
-3.0,3,0.776916
-3.0,3,0.778401
-2.0,2,0.783096
-3.0,3,0.784652
-3.0,3,0.786061
-3.0,3,0.787521
-2.0,2,0.788356
-3.0,3,0.78969
-2.0,2,0.7907
-2.0,2,0.791713
-2.0,2,0.792775
-2.0,2,0.793823
-3.0,3,0.795285
-2.0,2,0.796232
-2.0,2,0.797253
-2.0,2,0.798653
-2.0,2,0.799697
-2.0,2,0.800683
-2.0,2,0.801676
-3.0,3,0.803035
-3.0,3,0.80442
-2.0,2,0.805511
-2.0,2,0.806494
-3.0,3,0.807825
-3.0,3,0.809244
-2.0,2,0.81023
-2.0,2,0.811319
-3.0,3,0.812775
-3.0,3,0.814379
-3.0,3,0.815989
-2.0,2,0.81696
-3.0,3,0.818293
-2.0,2,0.819301
-2.0,2,0.820285
-2.0,2,0.821274
-3.0,3,0.8228
-3.0,3,0.824228
-3.0,3,0.825679
-2.0,2,0.826663
-2.0,2,0.827628
-3.0,3,0.829008
-2.0,2,0.829935
-2.0,2,0.830936
-3.0,3,0.835549
-3.0,3,0.83717
-2.0,2,0.838257
-3.0,3,0.839628
-3.0,3,0.841049
-3.0,3,0.842463
-2.0,2,0.843556
-3.0,3,0.844962
-3.0,3,0.84632
-3.0,3,0.848103
-3.0,3,0.849511
-3.0,3,0.850942
-2.0,2,0.851832
-2.0,2,0.852809
-3.0,3,0.854123
-3.0,3,0.855528
-2.0,2,0.856419
-3.0,3,0.858017
-3.0,3,0.859506
-3.0,3,0.86095
-3.0,3,0.862316
-3.0,3,0.863733
-2.0,2,0.864962
-3.0,3,0.866485
-3.0,3,0.867905
-3.0,3,0.869366
-2.0,2,0.870392
-3.0,3,0.871732
-2.0,2,0.87252
-2.0,2,0.873429
-2.0,2,0.874281
-3.0,3,0.875658
-3.0,3,0.877097
-3.0,3,0.878474
-3.0,3,0.879833
-3.0,3,0.881327
-3.0,3,0.88287
-3.0,3,0.887489
-3.0,3,0.967196
-3.0,3,0.971967
