#{"t_start": 1540230545.688608, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.462723
-200.0,200,0.605077
-2.0,2,0.606649
-3.0,3,0.608859
-2.0,2,0.610429
-2.0,2,0.611876
-3.0,3,0.613932
-2.0,2,0.615453
-3.0,3,0.617838
-3.0,3,0.620004
-3.0,3,0.622286
-3.0,3,0.624615
-3.0,3,0.626731
-3.0,3,0.628861
-3.0,3,0.631103
-2.0,2,0.632676
-2.0,2,0.634227
-2.0,2,0.635906
-3.0,3,0.63808
-2.0,2,0.639614
-3.0,3,0.641803
-2.0,2,0.643382
-2.0,2,0.644937
-2.0,2,0.6465
-2.0,2,0.64809
-3.0,3,0.650395
-2.0,2,0.651885
-2.0,2,0.653436
-3.0,3,0.655627
-3.0,3,0.657902
-2.0,2,0.659445
-3.0,3,0.661697
-3.0,3,0.664198
-3.0,3,0.666437
-2.0,2,0.668066
-2.0,2,0.669631
-2.0,2,0.671177
-2.0,2,0.672697
-2.0,2,0.674263
-2.0,2,0.675781
-3.0,3,0.678035
-3.0,3,0.680211
-2.0,2,0.690466
-3.0,3,0.692911
-3.0,3,0.695414
-3.0,3,0.698103
-3.0,3,0.700663
-3.0,3,0.703217
-2.0,2,0.704889
-3.0,3,0.70737
-3.0,3,0.70975
-3.0,3,0.712536
-3.0,3,0.715109
-2.0,2,0.716961
-3.0,3,0.719605
-3.0,3,0.722222
-2.0,2,0.723873
-2.0,2,0.725657
-2.0,2,0.727493
-3.0,3,0.73016
-2.0,2,0.731967
-3.0,3,0.734392
-3.0,3,0.736824
-3.0,3,0.739365
-3.0,3,0.742037
-3.0,3,0.74471
-2.0,2,0.74651
-3.0,3,0.749045
-2.0,2,0.7509
-3.0,3,0.753544
-3.0,3,0.756262
-3.0,3,0.758849
-3.0,3,0.761357
-3.0,3,0.764018
-3.0,3,0.766696
-2.0,2,0.768494
-3.0,3,0.771062
-3.0,3,0.773686
-2.0,2,0.775457
-2.0,2,0.786144
-2.0,2,0.787914
-3.0,3,0.790627
-3.0,3,0.793314
-3.0,3,0.796222
-3.0,3,0.798735
-3.0,3,0.80135
-2.0,2,0.80316
-3.0,3,0.805769
-3.0,3,0.808378
-2.0,2,0.810124
-3.0,3,0.813194
-3.0,3,0.81585
-3.0,3,0.818598
-2.0,2,0.820692
-2.0,2,0.823
-3.0,3,0.826914
-2.0,2,0.829563
-3.0,3,0.833366
-3.0,3,0.837317
-3.0,3,0.841291
-2.0,2,0.843882
-3.0,3,0.84762
-3.0,3,0.851458
-3.0,3,0.855386
-3.0,3,0.859279
-3.0,3,0.863364
-3.0,3,0.867779
-3.0,3,0.871719
-2.0,2,0.874414
-3.0,3,0.878379
-3.0,3,0.88239
-2.0,2,0.885053
-3.0,3,0.888893
-3.0,3,0.892761
-2.0,2,0.895457
-3.0,3,0.899323
-3.0,3,0.916076
-3.0,3,0.920385
-3.0,3,0.925074
-3.0,3,0.929282
-3.0,3,0.933353
-3.0,3,0.937477
-3.0,3,0.941257
-2.0,2,0.94369
-3.0,3,0.947542
-2.0,2,0.950197
-3.0,3,0.954009
-3.0,3,0.958065
-2.0,2,0.961331
-3.0,3,0.965961
-2.0,2,0.969257
-2.0,2,0.97246
-3.0,3,0.97668
-3.0,3,0.980928
-3.0,3,0.985429
-3.0,3,0.990164
-2.0,2,0.99342
-2.0,2,0.996575
-3.0,3,1.001325
-3.0,3,1.006006
-3.0,3,1.010724
-3.0,3,1.015409
-3.0,3,1.019851
-3.0,3,1.024358
-2.0,2,1.027472
-3.0,3,1.032007
-3.0,3,1.036589
-2.0,2,1.039694
-3.0,3,1.044249
-3.0,3,1.048334
-3.0,3,1.051498
-3.0,3,1.054435
-3.0,3,1.062075
-3.0,3,1.064296
-3.0,3,1.066445
-3.0,3,1.068642
-3.0,3,1.070758
-3.0,3,1.072928
-3.0,3,1.075315
-3.0,3,1.077303
-3.0,3,1.07954
-2.0,2,1.080977
-3.0,3,1.083207
-3.0,3,1.085204
-3.0,3,1.087377
-2.0,2,1.088833
-3.0,3,1.091168
-3.0,3,1.093322
-2.0,2,1.094844
-3.0,3,1.097504
-2.0,2,1.099027
-3.0,3,1.101156
-3.0,3,1.103294
-3.0,3,1.105502
-3.0,3,1.107645
-1.0,1,1.108437
-1.0,1,1.109181
-1.0,1,1.109955
-1.0,1,1.110706
-1.0,1,1.11145
-1.0,1,1.112216
-1.0,1,1.11301
-1.0,1,1.113862
-1.0,1,1.114687
-1.0,1,1.115468
-1.0,1,1.116251
-1.0,1,1.117103
-1.0,1,1.117969
-1.0,1,1.118763
-1.0,1,1.119546
-1.0,1,1.120368
-1.0,1,1.121175
-1.0,1,1.122015
-1.0,1,1.122842
-1.0,1,1.123633
-1.0,1,1.12448
-1.0,1,1.125296
-1.0,1,1.126069
-1.0,1,1.126861
-1.0,1,1.127732
-1.0,1,1.128578
-1.0,1,1.12944
-1.0,1,1.13025
-1.0,1,1.131047
-1.0,1,1.131787
-1.0,1,1.13261
-1.0,1,1.13338
-1.0,1,1.13415
-1.0,1,1.134939
-1.0,1,1.135773
-1.0,1,1.136551
-1.0,1,1.144876
-1.0,1,1.145759
-1.0,1,1.146591
-1.0,1,1.147443
-1.0,1,1.148224
-1.0,1,1.148983
-1.0,1,1.149759
-1.0,1,1.15051
-1.0,1,1.151339
-1.0,1,1.152151
-1.0,1,1.152928
-1.0,1,1.153783
-1.0,1,1.15464
-1.0,1,1.155461
-1.0,1,1.156288
-1.0,1,1.157026
-1.0,1,1.157892
-1.0,1,1.158754
-1.0,1,1.159571
-1.0,1,1.160303
-1.0,1,1.161079
-1.0,1,1.1619
-1.0,1,1.162703
-1.0,1,1.163569
-1.0,1,1.164621
-1.0,1,1.16571
-1.0,1,1.166727
-1.0,1,1.167753
-1.0,1,1.168808
-1.0,1,1.169887
-1.0,1,1.17089
-1.0,1,1.171721
-1.0,1,1.172627
-1.0,1,1.173644
-1.0,1,1.174707
-1.0,1,1.175821
-1.0,1,1.176606
-1.0,1,1.17746
-1.0,1,1.178256
-1.0,1,1.179018
-1.0,1,1.179816
-1.0,1,1.180628
-1.0,1,1.181484
-1.0,1,1.182352
-1.0,1,1.183182
-1.0,1,1.184067
-1.0,1,1.184856
-1.0,1,1.18565
-1.0,1,1.186482
-1.0,1,1.187287
-1.0,1,1.188117
-1.0,1,1.188961
-1.0,1,1.189768
-1.0,1,1.190606
-1.0,1,1.191463
-1.0,1,1.192369
-1.0,1,1.19313
-1.0,1,1.193935
-1.0,1,1.194732
-1.0,1,1.195528
-1.0,1,1.196303
-1.0,1,1.197045
-1.0,1,1.197809
-1.0,1,1.198598
-1.0,1,1.199449
-1.0,1,1.200263
-1.0,1,1.201058
-1.0,1,1.201904
-1.0,1,1.202728
-1.0,1,1.203561
-1.0,1,1.204382
-1.0,1,1.205132
-1.0,1,1.205924
-1.0,1,1.206789
-1.0,1,1.207654
-1.0,1,1.208459
-1.0,1,1.209289
-1.0,1,1.210058
-1.0,1,1.210998
-1.0,1,1.211802
-1.0,1,1.212587
-1.0,1,1.21342
-1.0,1,1.214164
-1.0,1,1.214991
-1.0,1,1.215833
-1.0,1,1.216625
-1.0,1,1.217451
-1.0,1,1.218226
-1.0,1,1.219098
-1.0,1,1.219919
-1.0,1,1.220747
-1.0,1,1.221515
-1.0,1,1.22229
-1.0,1,1.223102
-1.0,1,1.223946
-1.0,1,1.224804
-1.0,1,1.225558
-1.0,1,1.226359
-1.0,1,1.227117
-1.0,1,1.22787
-1.0,1,1.236254
-1.0,1,1.237097
-1.0,1,1.237948
-1.0,1,1.325285
-1.0,1,1.326963
-1.0,1,1.328491
-1.0,1,1.329808
-1.0,1,1.331101
-1.0,1,1.332377
-1.0,1,1.333711
-1.0,1,1.335157
-1.0,1,1.336427
-1.0,1,1.337662
-1.0,1,1.339075
-1.0,1,1.340421
-1.0,1,1.341682
